Location,Date,A/T(¡ÆC),MI/T(¡ÆC),MA/T(¡ÆC),D/P(mm),MA/W,A/W(m/s),A/PT(¡ÆC),A/RH(%),A/SP(hPa),A/LAP(hPa),MA/SLP(hPa),MI/SLP(hPa),A/SLP(hPa),TST(hr),A/GT(¡ÆC),T/RYN
90,2014-01-24,6.9,0.6,10.6,,5.7,1.9,-1.6,54.8,5.5,1014.9,1019.7,1015.5,1017.2,5.9,1.9,O
90,2014-01-25,4.9,1.9,10.4,7.5,4.5,2,2.6,86.8,7.4,1014,1019.1,1013.9,1016.2,0,2.6,O
90,2014-01-26,0.3,-3,3.4,0.2,7.3,2.6,-4.8,69.1,4.3,1023.9,1029,1019.1,1026.2,6.6,1.7,X
90,2014-01-27,4.4,-3.6,9.5,,6.1,2.6,-11.7,33.4,2.6,1017.3,1025.5,1015.6,1019.6,9.2,0.7,X
90,2014-01-28,4.3,-1.6,7.8,,6.2,3,-3.7,56.6,4.7,1018.3,1024.1,1016.4,1020.5,9.4,2.2,X
90,2014-01-29,7.4,-2.1,12.6,,6.2,2.5,-12.1,25.3,2.5,1015.6,1023.9,1011.1,1017.9,8.1,1.5,X
90,2014-01-30,8.6,3.4,12,,9.1,4.1,-3.7,44.1,5.3,1008.7,1017.8,1006.4,1010.9,6.7,4.7,X
90,2014-01-31,3.6,-1.3,6.9,,6.8,2.2,-12,32,2.6,1020.1,1024.5,1017.7,1022.3,9.1,0.9,O
90,2014-02-01,3.4,0.7,6.2,16.5,3.9,1.6,-2,73.3,5.5,1016.3,1021.2,1014.1,1018.6,0,0.4,O
90,2014-02-02,7.4,1.7,14.3,2,4.7,2,2.4,74.8,7.4,1004.6,1014.1,1002.9,1006.9,7.1,4.5,X
90,2014-02-03,1.6,-4.5,8.8,,8.3,4.1,-9.4,45,3.2,1011.1,1018.7,1007.8,1013.4,3.5,0.8,X
90,2014-02-04,-4.2,-7.4,-0.1,,5.5,2.5,-19.6,29.3,1.3,1019.3,1025.4,1018.4,1021.6,9.7,-1.9,X
90,2014-02-05,-4.1,-7.9,-0.3,,3.2,1.8,-14.3,46,2.1,1026.1,1030.7,1025.4,1028.4,9.4,-1.7,O
90,2014-02-06,-1.1,-5.3,1.3,0.1,5.1,2.4,-8.9,57,3.3,1025.7,1029.3,1026.5,1028,4.1,-0.2,O
90,2014-02-07,0,-2.4,1.1,12.4,5.8,3.3,-2.1,86.4,5.3,1023.3,1028.1,1023.5,1025.6,0,-0.1,O
90,2014-02-08,-0.5,-1.6,0.5,19.8,5.5,2.5,-2,90,5.3,1018.5,1023.5,1019.2,1020.8,0,0.2,O
90,2014-02-09,-1.5,-2.6,-0.4,44.6,6.6,2.7,-1.9,97.4,5.4,1020.6,1026,1019.4,1022.9,0,0.2,O
90,2014-02-10,-2.5,-3.6,-1.7,29.7,3.8,1.7,-3.2,94.8,4.8,1026.6,1030.3,1025.9,1028.9,0,0.2,O
90,2014-02-11,-1.8,-3.8,0.2,8.8,3.8,1.2,-2.2,97,5.2,1026.5,1030.3,1027.5,1028.8,0,0.2,X
90,2014-02-12,-1.4,-5.6,2.8,,4.9,2.1,-4.1,81.6,4.5,1028,1031.7,1028.8,1030.4,5.6,0.2,O
90,2014-02-13,-0.5,-2,1.1,22.6,2.7,1.2,-1.4,93.4,5.5,1031.1,1034.5,1031.4,1033.4,0,0.2,O
90,2014-02-14,0,-1.8,2.9,5.4,4.6,1.6,-0.6,95.8,5.9,1028.2,1033.3,1027.7,1030.5,1.2,0.2,X
90,2014-02-15,0.5,-4,5.3,,3.3,1.5,-2.5,80.6,5.1,1025,1028,1026.6,1027.3,10,0.2,X
90,2014-02-16,3.1,-3.4,8.1,,2.8,1.5,-2.4,67.9,5.2,1024.7,1028.7,1025.7,1027,5.8,0.2,O
90,2014-02-17,1.5,-0.3,4.3,3.7,5.9,2.6,-1.3,82,5.6,1028.7,1032.3,1028.2,1031,0,0.3,O
90,2014-02-18,-0.9,-2,0.5,6.2,4.1,1.4,-2,91.6,5.3,1028.2,1032.3,1028.7,1030.5,0,0.2,O
90,2014-02-19,0.6,-1.8,3.5,0.2,2.7,1.2,-1.8,83.4,5.4,1025.1,1029.5,1025.5,1027.4,1.7,0.2,O
90,2014-02-20,0.9,-1.5,3.7,1.2,4.2,1.8,-1.2,85.6,5.6,1025,1028.8,1026,1027.3,3.3,0.2,X
90,2014-02-21,0.4,-2.9,4.5,,3.1,1.6,-1.7,86,5.4,1027.7,1031.4,1028.5,1030,6.6,0.2,O
90,2014-02-22,0.4,-2.6,3.3,0,3.4,1.6,-2,84.1,5.3,1030.1,1033.5,1031.3,1032.4,4.7,0.2,X
90,2014-02-23,1.5,-1.1,5,,2.7,1.2,-0.8,84.8,5.8,1029.1,1033.2,1029.6,1031.4,5.7,0.3,X
90,2014-02-24,3.7,-1.8,7.2,,2.5,1.2,0.3,79.8,6.3,1025.3,1029.6,1025.9,1027.6,7.3,0.2,X
90,2014-02-25,6.9,1.9,11.3,,3.3,1.5,-0.2,61.3,6.1,1024.8,1028.4,1025.9,1027,9.2,1.2,X
90,2014-02-26,3.3,-0.5,9.1,,2.7,1,1,86.3,6.7,1023.4,1027.8,1022.9,1025.6,8.8,3.5,X
90,2014-02-27,7.4,-0.8,16.7,,4.8,2,1,69.9,6.6,1016.2,1022.9,1014.5,1018.5,6.8,5,O
90,2014-02-28,5,3.4,6.5,0,4.9,2.5,0.5,73.3,6.3,1022.2,1027.3,1020.4,1024.4,0,3.9,O
90,2014-03-01,3.7,1.7,5.7,3,7.8,3.1,1.6,86.6,6.9,1018,1021.9,1018.2,1020.3,1.3,4.6,O
90,2014-03-02,1.7,-0.6,3.6,8.5,3.7,1.7,0.5,92.4,6.4,1020.4,1025.7,1020.3,1022.7,0,2.3,X
90,2014-03-03,4.1,-1.2,8,,6.8,2.7,-0.7,72,5.9,1023.9,1028.3,1024.4,1026.2,10.5,3.3,X
90,2014-03-04,8.1,2.8,13.4,,3.9,1.9,-5.5,39.4,4.3,1018.1,1025.2,1016.9,1020.3,6,4.3,O
90,2014-03-05,0.3,-2.8,7.3,15.1,5.9,2.7,-3.6,76.1,4.8,1019.9,1024.9,1017.4,1022.2,3.7,0.3,X
90,2014-03-06,1.5,-3.9,6.1,,6.1,2.4,-12.4,35.2,2.4,1022.6,1026.5,1022.2,1024.9,10.6,-0.2,X
90,2014-03-07,1,-4.2,4.7,,6.6,2.8,-13.5,33.3,2.2,1024.6,1029.5,1024.3,1026.9,10.8,1.4,X
90,2014-03-08,2.8,-1.3,5.8,,4.5,1.9,-8.2,44.6,3.3,1020.3,1026.7,1019.3,1022.6,10.8,3,X
90,2014-03-09,2.2,-1.1,4.4,,8.9,3.5,-9.9,40.8,2.9,1016.7,1022.1,1016.8,1019,8.8,1.5,X
90,2014-03-10,1.8,-2.1,5.9,,3.8,2,-8.5,47.5,3.3,1022.4,1025.9,1022.1,1024.7,11,3.1,X
90,2014-03-11,8.6,-1.6,13.4,,6,2.7,-5.9,36,4,1019.2,1025.4,1017.9,1021.5,2.9,3.9,O
90,2014-03-12,7.3,5.1,10.9,0.1,7.1,2.7,-1.6,58.4,5.9,1015.3,1020.9,1015.3,1017.5,0.8,4.7,O
90,2014-03-13,3.2,0.2,5.1,0.5,6,4,-2.3,67,5.2,1015.7,1018.9,1016.2,1018,0.9,3.3,X
90,2014-03-14,4,-1,8.3,,5.3,2.1,-3.6,58.5,4.7,1015.5,1018.9,1015.8,1017.8,9.3,4,X
90,2014-03-15,10,2.9,15.2,,6.6,2.9,-4.4,37.3,4.5,1013,1018.8,1011.4,1015.2,10.4,7.7,X
90,2014-03-16,9.2,4.3,12.7,,6,2.7,1,58.4,6.6,1018.3,1023.4,1013.7,1020.5,9.5,10.6,O
90,2014-03-17,9.5,4.1,15.9,0,4.3,1.9,5.7,77.8,9.3,1013,1021.5,1008,1015.2,4.7,11.4,O
90,2014-03-18,11.7,6.4,17.7,0,7.1,4,4.4,61.8,8.5,1012.7,1022.2,1005.9,1014.9,5.5,12,X
90,2014-03-19,7.6,3.9,10.7,,7,2.8,2.9,73,7.5,1016.3,1021.9,1015.8,1018.5,0.8,8.4,O
90,2014-03-20,4.8,2.5,6.7,8,7,3.6,1.4,79,6.8,1012.3,1017.7,1012.7,1014.5,1.1,5.7,X
90,2014-03-21,5.3,1.8,8.7,,5.5,2.5,-3.7,53.6,4.7,1016.5,1019.9,1016.4,1018.7,11.2,6.1,X
90,2014-03-22,10.3,2.4,14.9,,4.6,2.1,-2,43.9,5.5,1018.5,1023,1018.9,1020.7,11.1,8.4,X
90,2014-03-23,15.6,9.6,20.6,,5.8,2.7,-0.7,33.1,5.8,1021.3,1025.6,1021.7,1023.4,10.6,12.5,X
90,2014-03-24,15.5,12,19,,8.5,4,-2.9,29.5,5.2,1015.9,1022.7,1014,1018,8.4,12.8,X
90,2014-03-25,16.6,13.5,22.9,,6,2.6,4.6,45.5,8.5,1009.6,1014.5,1009.6,1011.8,7.8,14.9,X
90,2014-03-26,13.3,9.1,17.3,,5.1,1.2,6.4,64.1,9.7,1007.7,1013,1008.5,1009.8,5.7,14.6,X
90,2014-03-27,12.6,6.3,17.3,,5.1,2,7,70.8,10,1013,1016.6,1013,1015.2,10.6,14.1,X
90,2014-03-28,20.1,10.9,26.9,,5.5,2,4.1,37.9,8.3,1011.6,1015.6,1011.5,1013.7,9.6,17.9,O
90,2014-03-29,14.2,8.6,20.8,0.2,8,3.4,6.6,63.9,9.8,1008.3,1013.1,1007.7,1010.4,5.2,15.4,O
90,2014-03-30,8.8,5.8,11.7,5,7.1,3.3,4.6,75.6,8.5,1009.8,1015.1,1008,1012,6.5,10.8,X
90,2014-03-31,10.2,4.5,15.8,,5.3,1.8,6.6,79.6,9.8,1013.5,1018.3,1014.1,1015.7,7.8,11.3,X
90,2014-04-01,11.7,7.5,17.5,,3.8,1.7,7,76.8,10.3,1013.6,1017.4,1014.2,1015.7,10.5,14,X
90,2014-04-02,16.5,7.2,23.1,,6.3,2.6,2.8,45.8,7.7,1012.5,1016,1012.9,1014.7,11.1,16.8,O
90,2014-04-03,7.7,3.9,11.5,34,8.3,4,5.7,87.6,9.3,1013.3,1017.2,1011.6,1015.5,0,8.4,O
90,2014-04-04,4.3,1.9,7.8,3.5,5.6,2.2,0.9,79.3,6.5,1011.2,1015.7,1012.2,1013.4,4.4,5.6,O
90,2014-04-05,4.3,0.7,9.7,3,6.5,2,0.4,77.6,6.3,1011.6,1015.6,1012.9,1013.8,5.8,4.4,X
90,2014-04-06,8.2,1.5,13.3,,6.9,3.1,-2.9,47.3,5,1014.3,1019.4,1013.9,1016.5,12,8,X
90,2014-04-07,17.3,11,21.9,,11.3,4.8,-0.8,29.4,5.9,1008.8,1015.1,1008.3,1010.9,10.5,13.3,X
90,2014-04-08,12.8,8.6,16.6,,5.8,2,5.5,63.3,9.2,1013.5,1018.1,1013,1015.7,11.2,14.5,X
90,2014-04-09,17.5,8.6,23.2,,6,2.4,2.1,40.1,7.3,1011.1,1015.3,1010.1,1013.2,11.1,16.1,X
90,2014-04-10,11.2,6.4,19.2,,5.6,2.8,2.3,56.3,7.4,1018.6,1024,1013.2,1020.7,6.2,14.5,X
90,2014-04-11,9.8,5,13.9,,3.7,1.9,5.7,76.3,9.3,1018.1,1023.1,1018.1,1020.3,10.8,12.6,X
90,2014-04-12,11.3,7.4,12.7,,4.6,2.1,8.8,85.4,11.4,1016.3,1020.2,1016.9,1018.5,4,12.1,X
90,2014-04-13,11.9,9.6,14.6,,4.1,1.8,10.3,90.5,12.5,1017.3,1020.7,1017.5,1019.5,6.8,14.7,X
90,2014-04-14,14.1,8.7,21,,6,2.5,9.3,76.5,11.8,1015.8,1020.9,1015,1018,8.7,15.4,X
90,2014-04-15,21,14.2,27,,7,3.3,7.3,43.8,10.4,1011.4,1015.2,1011.5,1013.5,10.4,19.9,X
90,2014-04-16,13.4,10.9,18.1,,5.8,2.5,8.6,73.8,11.2,1012.2,1017.6,1011.6,1014.4,10.2,17.2,O
90,2014-04-17,11.7,9.7,13.7,0.3,4.8,2.6,8.7,82.6,11.3,1013.2,1017.7,1012.4,1015.4,5.3,14.1,O
90,2014-04-18,11.1,8.8,14.5,0,5.6,2.3,5.7,69.8,9.1,1017,1022.5,1016.7,1019.2,5.5,15.2,X
90,2014-04-19,10.7,7.4,13.3,,6.2,2.7,5.4,70.3,9,1021.5,1025.3,1022.5,1023.7,1.2,11.6,X
90,2014-04-20,11.7,7.9,15.2,,7.1,3.4,6.3,70.8,9.6,1015.4,1022.9,1013.7,1017.6,10.5,16,X
90,2014-04-21,15.1,9,19.6,,4.5,2.4,4.4,50,8.4,1011.3,1014.5,1011.8,1013.5,9.7,18.6,X
90,2014-04-22,15.6,9.4,20.3,,4.4,1.8,2,40.5,7.1,1012.1,1015.1,1012.7,1014.2,11.2,19.9,X
90,2014-04-23,18.1,13,22.9,,4.8,2,2.5,36.5,7.4,1014.1,1017.6,1014.4,1016.3,11.8,20.8,X
90,2014-04-24,18.5,12.9,23.4,,5.3,1.9,5.6,43.8,9.2,1017.8,1021.5,1017.5,1020,10.7,20.9,X
90,2014-04-25,19.2,13,24.8,,5.4,2.2,3.7,37.3,8,1019.4,1023.2,1020.1,1021.6,11.1,22,X
90,2014-04-26,18.9,12.2,23.2,,4.2,1.6,6.8,47.4,10.1,1018.3,1021.7,1019.4,1020.5,6.9,21.6,O
90,2014-04-27,17.1,13.8,23.1,1.5,5.7,2.2,10.2,67,12.6,1017.2,1021.5,1017.9,1019.4,0,16.7,O
90,2014-04-28,13.6,12.9,14.4,10.5,6.3,2.7,13.1,97,15.1,1016.3,1019.7,1017.5,1018.5,0,14.5,O
90,2014-04-29,12,10.2,13.7,41,5.9,3.8,11.7,98.6,13.8,1012.4,1017.9,1012.6,1014.6,0,12.1,O
90,2014-04-30,11.7,9.4,14.2,5,7.3,2.7,8,79.1,10.7,1009.6,1012.7,1010.5,1011.8,1,11.9,X
90,2014-05-01,16.1,8.1,23,,4.2,2,10.5,73.1,12.9,1007.8,1011.6,1007.9,1009.9,12.2,17.7,X
90,2014-05-02,22.3,16.7,28.4,,8.4,3,5.9,35.4,9.4,1004.7,1010.4,1002.9,1006.8,9,21,X
90,2014-05-03,16.4,13,21.5,,11.9,5.7,1.9,38.9,7.2,1011.2,1016.8,1003.3,1013.4,13.3,20.2,X
90,2014-05-04,16.6,11.4,22.9,,7.4,2.8,1.3,36.8,6.8,1009,1016.6,1006.5,1011.1,6.9,18.5,O
90,2014-05-05,12.5,9.8,17.2,0,10.5,6.1,-1,40.4,5.7,1010.1,1016.9,1005.1,1012.3,12.7,15.4,X
90,2014-05-06,15.5,8.8,21.6,,6.8,3.7,-2.2,31.5,5.3,1012.6,1016.9,1012.2,1014.8,12.7,19.3,X
90,2014-05-07,16.5,12.5,23.2,,5.1,1.9,3.5,43.6,8.1,1008.9,1015.1,1008.1,1011,6.4,18.1,O
90,2014-05-08,13.4,11,18.5,11,5.6,1.8,10.8,85.3,13,1007,1014.5,1005.7,1009.2,4.5,17.4,X
90,2014-05-09,13.8,9,18.7,,4.3,2,5.9,61.3,9.4,1016,1021.9,1013.9,1018.2,13,18,X
90,2014-05-10,13.7,8.2,18,,3.9,1.6,8.6,72.5,11.3,1019.7,1023.9,1020,1021.9,12.9,19,O
90,2014-05-11,13.5,8.8,17.8,8.5,6.5,2.2,11,86.1,13.2,1012.4,1020.8,1005.5,1014.6,6.4,16.5,O
90,2014-05-12,17.9,12.8,22.4,3.5,7.2,3.2,9.9,64.8,12.4,998.9,1005.5,997.7,1001,11.2,19.3,X
90,2014-05-13,24.4,17.7,29.8,,10.2,5.7,6.4,32.8,9.6,999.8,1004.4,1000.1,1001.8,12.5,22.6,X
90,2014-05-14,21.5,17.2,28.3,,7.4,2.4,8.8,45.4,11.5,996.7,1002.5,995.8,998.7,7.1,21.9,O
90,2014-05-15,21.1,17.5,25.3,0,7.3,3.8,6.4,39.9,9.8,995.2,1000.9,994.7,997.3,9.9,22.3,X
90,2014-05-16,18.8,13.3,24.2,,6.6,3.1,6.2,46.4,9.6,1004.1,1011.3,1000.9,1006.2,11.2,23.7,X
90,2014-05-17,15.2,11.6,19.2,,4.1,1.8,12,81.6,14.1,1010.1,1013.2,1010.8,1012.3,12.8,22.5,X
90,2014-05-18,15.1,12.2,18.7,,6.8,2,13.2,89.1,15.2,1011.3,1015,1011.8,1013.5,9.5,21.5,X
90,2014-05-19,14.7,13.6,16.8,,5.2,2.2,14.2,97.8,16.2,1009.3,1013.9,1008.7,1011.5,3.8,20.8,X
90,2014-05-20,15.1,13.6,19.3,,4.3,1.7,14.6,97.1,16.6,1004.1,1009.5,1002.6,1006.2,6.6,20.3,X
90,2014-05-21,15.4,13.7,18.4,,4.6,2.5,13.7,90.1,15.7,1004.3,1009.5,1003.4,1006.4,6.8,20.9,O
90,2014-05-22,15.1,13.6,18.8,0.5,5.1,1.9,13.6,91.5,15.6,1012.2,1019.2,1009.3,1014.4,3.8,20.2,O
90,2014-05-23,14.7,13.1,16.5,1.5,4.5,2.2,14.2,97.3,16.2,1016.5,1021.8,1015.7,1018.7,0,16.5,X
90,2014-05-24,23,14.3,31.1,,4.9,2.1,14.2,63,16.2,1010.8,1016.9,1010.3,1012.9,8.7,25.5,O
90,2014-05-25,20.5,16.2,26.4,0,6.1,1.9,12.7,64.6,14.9,1005.6,1012.7,1001.3,1007.7,1.4,23.4,O
90,2014-05-26,22.4,15.3,27.1,0,6.5,3.1,10.4,52.8,13.1,996.1,1001.4,996,998.2,10.5,26.1,X
90,2014-05-27,27.7,22,32.5,,7.2,4.8,6.3,26,9.6,993,998.4,993.1,995,7.3,27.8,X
90,2014-05-28,18.6,14.4,28.6,,7,2.9,14.2,80,16.3,997.4,1001.1,994.5,999.4,8.8,25.8,X
90,2014-05-29,24.7,16.2,31.4,,4.9,2,12.9,53.5,15.3,1001.6,1004.9,1000.9,1003.6,9.5,29.3,X
90,2014-05-30,24,17.4,31,,5.2,2.3,11.2,48.4,13.5,1007,1012.4,1004.1,1009,12,31.6,X
90,2014-05-31,21.7,16.1,29.1,,6.3,2.3,13.8,63.9,15.9,1008.7,1013,1008.3,1010.8,12.5,29,X
90,2014-06-01,25.4,20,32.8,,3.8,1.5,14.3,52,16.4,1007.3,1010.1,1008.4,1009.3,6.2,28.5,O
90,2014-06-02,18.4,17.2,21.3,0,4.6,1.7,16.8,91,19.1,1007.7,1011.5,1008.3,1009.8,0,21.2,O
90,2014-06-03,17.9,16.6,19.5,8,2.7,1.3,17.6,99.1,20.2,1007.6,1010.5,1009.1,1009.7,0,19.8,O
90,2014-06-04,18,17.3,19.9,2,4.8,2.3,17.1,95,19.5,1007.3,1010.6,1008.1,1009.4,0.8,19.6,O
90,2014-06-05,18,16.9,19.9,0.5,4.8,2.2,16.8,93.4,19.2,1005.5,1008.7,1006.6,1007.6,0.3,20,X
90,2014-06-06,18.1,15.9,21.5,,3.7,1.7,15.4,84.8,17.5,1004.9,1008,1005.9,1007,9.6,25.4,O
90,2014-06-07,17.8,16.8,20.1,0,4,2.1,16.8,94.3,19.1,1005.5,1008.4,1006.8,1007.6,2.2,20.6,O
90,2014-06-08,17.1,16.4,18.5,3.5,3.8,2.1,16.8,98.1,19.1,1006.6,1010.7,1007.2,1008.7,0,18.5,O
90,2014-06-09,17.6,16.5,19.2,0.1,3.3,1.5,17.2,97.9,19.6,1010.1,1013.8,1010.1,1012.2,0,19.4,O
90,2014-06-10,18.4,16.7,21.7,2,2.8,1.5,17.2,93.3,19.6,1010.6,1014.2,1011.1,1012.7,1.8,21.9,O
90,2014-06-11,17.7,16.5,19.5,1.5,2.4,1,16.9,95.9,19.3,1006.5,1012,1006.4,1008.6,0,19.6,O
90,2014-06-12,17.5,15.1,20.2,0.2,4,1.5,16.2,93,18.5,1001.7,1006.4,1002.3,1003.8,3,21.8,O
90,2014-06-13,18,13.7,22.3,1,3.2,1.6,16.2,89.9,18.4,1002.1,1006.4,1002.2,1004.2,5.4,20.4,X
90,2014-06-14,22.6,15.1,30.2,,5,1.9,15.7,68.9,17.9,1002.6,1006,1003.4,1004.6,13.3,25.8,X
90,2014-06-15,26.1,22.1,30.9,,3.9,2.1,13.3,46,15.3,1001.5,1004.5,1002.5,1003.5,13.7,30.6,O
90,2014-06-16,23.5,20,31.3,0,3.1,1.6,16.5,68.8,19.1,1002.6,1007.4,1003.1,1004.7,9,27.9,O
90,2014-06-17,19.3,18.3,20.6,0.5,2.4,1.1,18.9,98.1,21.9,1005.4,1008.2,1006.5,1007.5,0,21.9,O
90,2014-06-18,19.3,17.8,21.7,3,3.3,1.4,18.8,97.6,21.8,1003.7,1007.7,1004.3,1005.8,0,20.9,O
90,2014-06-19,19.7,17.8,23,7.5,4.5,1.6,19.4,98.9,22.6,1003.3,1008.8,1003.7,1005.4,3.4,22.5,O
90,2014-06-20,18.2,17,20.2,3,3.3,1.6,17.6,96.9,20.1,1009.3,1012.6,1008.7,1011.4,0,19.9,O
90,2014-06-21,18.5,17.3,20.3,2.5,3.6,1.2,18.3,99.3,21,1009,1012.4,1010,1011.1,0,20.5,O
90,2014-06-22,19.5,17.7,23.6,2.5,3.3,1.4,17.7,90.4,20.3,1007,1010.5,1007.8,1009.1,3.7,25.4,O
90,2014-06-23,19.2,17.3,22.7,2,4.2,1.5,18.8,98,21.7,1004.6,1007.9,1005.3,1006.7,4.1,21.6,O
90,2014-06-24,20.3,18.2,23.2,0.1,4.2,1.4,19.2,94.1,22.3,1004.5,1007.3,1005.7,1006.6,10.3,25.5,X
90,2014-06-25,21.3,16.9,25.9,,5.2,1.8,18.7,86.9,21.6,1005.4,1008.2,1006.5,1007.5,13.5,28.3,X
90,2014-06-26,21.3,18.6,24.5,,3,1.3,20.8,97.4,24.6,1004.8,1008.2,1005.5,1006.9,7.6,26.6,X
90,2014-06-27,22.4,19.2,27.2,,2.6,1.1,20,87.6,23.3,1001.9,1005.8,1002.3,1004,11,29.2,O
90,2014-06-28,22.1,19.4,26.1,1.5,3.3,1.4,20.6,92.4,24.3,999.7,1003.6,1000.5,1001.8,9.9,27.8,O
90,2014-06-29,21.2,18.2,24.4,0.5,3,1.4,20.3,95.6,23.9,1003.7,1008,1003.1,1005.8,9.1,24.2,X
90,2014-06-30,21.8,18.2,25.6,,4.4,2.1,20.4,92.4,24,1006.3,1009.4,1007.4,1008.4,12,29.8,X
90,2014-07-01,21.9,18.8,25.4,,3.9,1.5,21.4,97.5,25.6,1008,1011,1008.8,1010.1,10.4,28.2,X
90,2014-07-02,22.5,20.6,25.2,,4.2,2.1,22.2,98.8,26.7,1007,1011,1007.1,1009.1,3.2,27,O
90,2014-07-03,21.5,20.4,22.5,46,4,1.4,21.4,100,25.5,1002.2,1007,1003,1004.3,0,23,O
90,2014-07-04,22.3,19.7,24.7,0.2,4.1,1.9,21.6,96.5,25.8,1006.4,1011.3,1004.7,1008.5,8.8,26.5,X
90,2014-07-05,21.9,18.7,26,,3.1,1.6,19.7,88.6,23,1009.9,1013.1,1011.1,1012,8,25.3,X
90,2014-07-06,21.6,18.9,24.6,,4.3,1.8,20.3,92.9,23.8,1006.3,1011.1,1006.7,1008.4,7.8,24.7,X
90,2014-07-07,21.9,16.9,25.7,,5.3,2.2,20.4,91.8,24,1004.9,1008.1,1006,1007,13.5,28.2,O
90,2014-07-08,23,21,26.3,0,3.5,1.6,21.9,94.1,26.3,1004.3,1008.4,1004.6,1006.3,7.8,28.9,O
90,2014-07-09,25.7,22.7,31,19,5,1.8,23.8,91.3,29.5,1000,1005.3,997.6,1002,5.8,28.1,X
90,2014-07-10,24.3,22.2,27,,6.9,2,22.4,89.9,27.1,993,997.6,994.1,995,11,27.3,X
90,2014-07-11,29.6,22.9,34.6,,5.6,2.7,14.7,41.3,16.9,995.1,999.6,994.8,997.1,12.8,30,X
90,2014-07-12,27.6,25.3,30.1,,5.1,2.1,17.6,54.8,20.2,999.4,1002.5,999.6,1001.4,1.2,26.2,X
90,2014-07-13,26.7,23,29.8,,5.3,1.9,19.2,64.6,22.3,998.7,1003,999.3,1000.7,8.9,29.8,X
