L1cati1n,A/T(°C),MI/T(°C),MA/T(°C),D/P(mm),MA/W,A/W(m/s),A/PT(°C),A/RH(P),A/SP(hPa),A/LAP(hPa),MA/SLP(hPa),MI/SLP(hPa),A/SLP(hPa),TST(hr),A/GT(°C),T/RYN
90.00,16.60,13.50,22.90,0.00,6.00,2.60,4.60,45.50,8.50,1009.60,1014.50,1009.60,1011.80,7.80,14.90,0.00
90.00,13.30,9.10,17.30,0.00,5.10,1.20,6.40,64.10,9.70,1007.70,1013.00,1008.50,1009.80,5.70,14.60,0.00
90.00,12.60,6.30,17.30,0.00,5.10,2.00,7.00,70.80,10.00,1013.00,1016.60,1013.00,1015.20,10.60,14.10,0.00
90.00,20.10,10.90,26.90,0.00,5.50,2.00,4.10,37.90,8.30,1011.60,1015.60,1011.50,1013.70,9.60,17.90,1.00
90.00,14.20,8.60,20.80,0.20,8.00,3.40,6.60,63.90,9.80,1008.30,1013.10,1007.70,1010.40,5.20,15.40,1.00
90.00,8.80,5.80,11.70,5.00,7.10,3.30,4.60,75.60,8.50,1009.80,1015.10,1008.00,1012.00,6.50,10.80,0.00
90.00,10.20,4.50,15.80,0.00,5.30,1.80,6.60,79.60,9.80,1013.50,1018.30,1014.10,1015.70,7.80,11.30,0.00
90.00,11.70,7.50,17.50,0.00,3.80,1.70,7.00,76.80,10.30,1013.60,1017.40,1014.20,1015.70,10.50,14.00,0.00
90.00,16.50,7.20,23.10,0.00,6.30,2.60,2.80,45.80,7.70,1012.50,1016.00,1012.90,1014.70,11.10,16.80,1.00
90.00,7.70,3.90,11.50,34.00,8.30,4.00,5.70,87.60,9.30,1013.30,1017.20,1011.60,1015.50,0.00,8.40,1.00
90.00,4.30,1.90,7.80,3.50,5.60,2.20,0.90,79.30,6.50,1011.20,1015.70,1012.20,1013.40,4.40,5.60,1.00
90.00,4.30,0.70,9.70,3.00,6.50,2.00,0.40,77.60,6.30,1011.60,1015.60,1012.90,1013.80,5.80,4.40,0.00
90.00,8.20,1.50,13.30,0.00,6.90,3.10,2.90,47.30,5.00,1014.30,1019.40,1013.90,1016.50,12.00,8.00,0.00
90.00,17.30,11.00,21.90,0.00,11.30,4.80,0.80,29.40,5.90,1008.80,1015.10,1008.30,1010.90,10.50,13.30,0.00
90.00,12.80,8.60,16.60,0.00,5.80,2.00,5.50,63.30,9.20,1013.50,1018.10,1013.00,1015.70,11.20,14.50,0.00
90.00,17.50,8.60,23.20,0.00,6.00,2.40,2.10,40.10,7.30,1011.10,1015.30,1010.10,1013.20,11.10,16.10,0.00
90.00,11.20,6.40,19.20,0.00,5.60,2.80,2.30,56.30,7.40,1018.60,1024.00,1013.20,1020.70,6.20,14.50,0.00
90.00,9.80,5.00,13.90,0.00,3.70,1.90,5.70,76.30,9.30,1018.10,1023.10,1018.10,1020.30,10.80,12.60,0.00
90.00,11.30,7.40,12.70,0.00,4.60,2.10,8.80,85.40,11.40,1016.30,1020.20,1016.90,1018.50,4.00,12.10,0.00
90.00,11.90,9.60,14.60,0.00,4.10,1.80,10.30,90.50,12.50,1017.30,1020.70,1017.50,1019.50,6.80,14.70,0.00
90.00,14.10,8.70,21.00,0.00,6.00,2.50,9.30,76.50,11.80,1015.80,1020.90,1015.00,1018.00,8.70,15.40,0.00
90.00,21.00,14.20,27.00,0.00,7.00,3.30,7.30,43.80,10.40,1011.40,1015.20,1011.50,1013.50,10.40,19.90,0.00
90.00,13.40,10.90,18.10,0.00,5.80,2.50,8.60,73.80,11.20,1012.20,1017.60,1011.60,1014.40,10.20,17.20,1.00
90.00,11.70,9.70,13.70,0.30,4.80,2.60,8.70,82.60,11.30,1013.20,1017.70,1012.40,1015.40,5.30,14.10,1.00
90.00,11.10,8.80,14.50,0.00,5.60,2.30,5.70,69.80,9.10,1017.00,1022.50,1016.70,1019.20,5.50,15.20,0.00
90.00,10.70,7.40,13.30,0.00,6.20,2.70,5.40,70.30,9.00,1021.50,1025.30,1022.50,1023.70,1.20,11.60,0.00
90.00,11.70,7.90,15.20,0.00,7.10,3.40,6.30,70.80,9.60,1015.40,1022.90,1013.70,1017.60,10.50,16.00,0.00
90.00,15.10,9.00,19.60,0.00,4.50,2.40,4.40,50.00,8.40,1011.30,1014.50,1011.80,1013.50,9.70,18.60,0.00
90.00,15.60,9.40,20.30,0.00,4.40,1.80,2.00,40.50,7.10,1012.10,1015.10,1012.70,1014.20,11.20,19.90,0.00
90.00,18.10,13.00,22.90,0.00,4.80,2.00,2.50,36.50,7.40,1014.10,1017.60,1014.40,1016.30,11.80,20.80,0.00
90.00,18.50,12.90,23.40,0.00,5.30,1.90,5.60,43.80,9.20,1017.80,1021.50,1017.50,1020.00,10.70,20.90,0.00
90.00,19.20,13.00,24.80,0.00,5.40,2.20,3.70,37.30,8.00,1019.40,1023.20,1020.10,1021.60,11.10,22.00,0.00
90.00,18.90,12.20,23.20,0.00,4.20,1.60,6.80,47.40,10.10,1018.30,1021.70,1019.40,1020.50,6.90,21.60,1.00
90.00,17.10,13.80,23.10,1.50,5.70,2.20,10.20,67.00,12.60,1017.20,1021.50,1017.90,1019.40,0.00,16.70,1.00
90.00,13.60,12.90,14.40,10.50,6.30,2.70,13.10,97.00,15.10,1016.30,1019.70,1017.50,1018.50,0.00,14.50,1.00
90.00,12.00,10.20,13.70,41.00,5.90,3.80,11.70,98.60,13.80,1012.40,1017.90,1012.60,1014.60,0.00,12.10,1.00
90.00,11.70,9.40,14.20,5.00,7.30,2.70,8.00,79.10,10.70,1009.60,1012.70,1010.50,1011.80,1.00,11.90,0.00
90.00,16.10,8.10,23.00,0.00,4.20,2.00,10.50,73.10,12.90,1007.80,1011.60,1007.90,1009.90,12.20,17.70,0.00
90.00,22.30,16.70,28.40,0.00,8.40,3.00,5.90,35.40,9.40,1004.70,1010.40,1002.90,1006.80,9.00,21.00,0.00
90.00,16.40,13.00,21.50,0.00,11.90,5.70,1.90,38.90,7.20,1011.20,1016.80,1003.30,1013.40,13.30,20.20,0.00
90.00,16.60,11.40,22.90,0.00,7.40,2.80,1.30,36.80,6.80,1009.00,1016.60,1006.50,1011.10,6.90,18.50,1.00
90.00,12.50,9.80,17.20,0.00,10.50,6.10,1.00,40.40,5.70,1010.10,1016.90,1005.10,1012.30,12.70,15.40,0.00
90.00,15.50,8.80,21.60,0.00,6.80,3.70,2.20,31.50,5.30,1012.60,1016.90,1012.20,1014.80,12.70,19.30,0.00
90.00,16.50,12.50,23.20,0.00,5.10,1.90,3.50,43.60,8.10,1008.90,1015.10,1008.10,1011.00,6.40,18.10,1.00
90.00,13.40,11.00,18.50,11.00,5.60,1.80,10.80,85.30,13.00,1007.00,1014.50,1005.70,1009.20,4.50,17.40,0.00
90.00,13.80,9.00,18.70,0.00,4.30,2.00,5.90,61.30,9.40,1016.00,1021.90,1013.90,1018.20,13.00,18.00,0.00
90.00,13.70,8.20,18.00,0.00,3.90,1.60,8.60,72.50,11.30,1019.70,1023.90,1020.00,1021.90,12.90,19.00,1.00
90.00,13.50,8.80,17.80,8.50,6.50,2.20,11.00,86.10,13.20,1012.40,1020.80,1005.50,1014.60,6.40,16.50,1.00
90.00,17.90,12.80,22.40,3.50,7.20,3.20,9.90,64.80,12.40,998.90,1005.50,997.70,1001.00,11.20,19.30,0.00
90.00,24.40,17.70,29.80,0.00,10.20,5.70,6.40,32.80,9.60,999.80,1004.40,1000.10,1001.80,12.50,22.60,0.00
90.00,21.50,17.20,28.30,0.00,7.40,2.40,8.80,45.40,11.50,996.70,1002.50,995.80,998.70,7.10,21.90,1.00
90.00,21.10,17.50,25.30,0.00,7.30,3.80,6.40,39.90,9.80,995.20,1000.90,994.70,997.30,9.90,22.30,0.00
90.00,18.80,13.30,24.20,0.00,6.60,3.10,6.20,46.40,9.60,1004.10,1011.30,1000.90,1006.20,11.20,23.70,0.00
90.00,15.20,11.60,19.20,0.00,4.10,1.80,12.00,81.60,14.10,1010.10,1013.20,1010.80,1012.30,12.80,22.50,0.00
90.00,15.10,12.20,18.70,0.00,6.80,2.00,13.20,89.10,15.20,1011.30,1015.00,1011.80,1013.50,9.50,21.50,0.00
90.00,14.70,13.60,16.80,0.00,5.20,2.20,14.20,97.80,16.20,1009.30,1013.90,1008.70,1011.50,3.80,20.80,0.00
90.00,15.10,13.60,19.30,0.00,4.30,1.70,14.60,97.10,16.60,1004.10,1009.50,1002.60,1006.20,6.60,20.30,0.00
90.00,15.40,13.70,18.40,0.00,4.60,2.50,13.70,90.10,15.70,1004.30,1009.50,1003.40,1006.40,6.80,20.90,1.00
90.00,15.10,13.60,18.80,0.50,5.10,1.90,13.60,91.50,15.60,1012.20,1019.20,1009.30,1014.40,3.80,20.20,1.00
90.00,14.70,13.10,16.50,1.50,4.50,2.20,14.20,97.30,16.20,1016.50,1021.80,1015.70,1018.70,0.00,16.50,0.00
90.00,23.00,14.30,31.10,0.00,4.90,2.10,14.20,63.00,16.20,1010.80,1016.90,1010.30,1012.90,8.70,25.50,1.00
90.00,20.50,16.20,26.40,0.00,6.10,1.90,12.70,64.60,14.90,1005.60,1012.70,1001.30,1007.70,1.40,23.40,1.00
90.00,22.40,15.30,27.10,0.00,6.50,3.10,10.40,52.80,13.10,996.10,1001.40,996.00,998.20,10.50,26.10,0.00
90.00,27.70,22.00,32.50,0.00,7.20,4.80,6.30,26.00,9.60,993.00,998.40,993.10,995.00,7.30,27.80,0.00
90.00,18.60,14.40,28.60,0.00,7.00,2.90,14.20,80.00,16.30,997.40,1001.10,994.50,999.40,8.80,25.80,0.00
90.00,24.70,16.20,31.40,0.00,4.90,2.00,12.90,53.50,15.30,1001.60,1004.90,1000.90,1003.60,9.50,29.30,0.00
90.00,24.00,17.40,31.00,0.00,5.20,2.30,11.20,48.40,13.50,1007.00,1012.40,1004.10,1009.00,12.00,31.60,0.00
90.00,21.70,16.10,29.10,0.00,6.30,2.30,13.80,63.90,15.90,1008.70,1013.00,1008.30,1010.80,12.50,29.00,0.00
90.00,25.40,20.00,32.80,0.00,3.80,1.50,14.30,52.00,16.40,1007.30,1010.10,1008.40,1009.30,6.20,28.50,1.00
90.00,18.40,17.20,21.30,0.00,4.60,1.70,16.80,91.00,19.10,1007.70,1011.50,1008.30,1009.80,0.00,21.20,1.00
90.00,17.90,16.60,19.50,8.00,2.70,1.30,17.60,99.10,20.20,1007.60,1010.50,1009.10,1009.70,0.00,19.80,1.00
90.00,18.00,17.30,19.90,2.00,4.80,2.30,17.10,95.00,19.50,1007.30,1010.60,1008.10,1009.40,0.80,19.60,1.00
90.00,18.00,16.90,19.90,0.50,4.80,2.20,16.80,93.40,19.20,1005.50,1008.70,1006.60,1007.60,0.30,20.00,0.00
90.00,18.10,15.90,21.50,0.00,3.70,1.70,15.40,84.80,17.50,1004.90,1008.00,1005.90,1007.00,9.60,25.40,1.00
90.00,17.80,16.80,20.10,0.00,4.00,2.10,16.80,94.30,19.10,1005.50,1008.40,1006.80,1007.60,2.20,20.60,1.00
90.00,17.10,16.40,18.50,3.50,3.80,2.10,16.80,98.10,19.10,1006.60,1010.70,1007.20,1008.70,0.00,18.50,1.00
90.00,17.60,16.50,19.20,0.10,3.30,1.50,17.20,97.90,19.60,1010.10,1013.80,1010.10,1012.20,0.00,19.40,1.00
90.00,18.40,16.70,21.70,2.00,2.80,1.50,17.20,93.30,19.60,1010.60,1014.20,1011.10,1012.70,1.80,21.90,1.00
90.00,17.70,16.50,19.50,1.50,2.40,1.00,16.90,95.90,19.30,1006.50,1012.00,1006.40,1008.60,0.00,19.60,1.00
90.00,17.50,15.10,20.20,0.20,4.00,1.50,16.20,93.00,18.50,1001.70,1006.40,1002.30,1003.80,3.00,21.80,1.00
90.00,18.00,13.70,22.30,1.00,3.20,1.60,16.20,89.90,18.40,1002.10,1006.40,1002.20,1004.20,5.40,20.40,0.00
90.00,22.60,15.10,30.20,0.00,5.00,1.90,15.70,68.90,17.90,1002.60,1006.00,1003.40,1004.60,13.30,25.80,0.00
90.00,26.10,22.10,30.90,0.00,3.90,2.10,13.30,46.00,15.30,1001.50,1004.50,1002.50,1003.50,13.70,30.60,1.00
90.00,23.50,20.00,31.30,0.00,3.10,1.60,16.50,68.80,19.10,1002.60,1007.40,1003.10,1004.70,9.00,27.90,1.00
90.00,19.30,18.30,20.60,0.50,2.40,1.10,18.90,98.10,21.90,1005.40,1008.20,1006.50,1007.50,0.00,21.90,1.00
90.00,19.30,17.80,21.70,3.00,3.30,1.40,18.80,97.60,21.80,1003.70,1007.70,1004.30,1005.80,0.00,20.90,1.00
90.00,19.70,17.80,23.00,7.50,4.50,1.60,19.40,98.90,22.60,1003.30,1008.80,1003.70,1005.40,3.40,22.50,1.00
90.00,18.20,17.00,20.20,3.00,3.30,1.60,17.60,96.90,20.10,1009.30,1012.60,1008.70,1011.40,0.00,19.90,1.00
90.00,18.50,17.30,20.30,2.50,3.60,1.20,18.30,99.30,21.00,1009.00,1012.40,1010.00,1011.10,0.00,20.50,1.00
90.00,19.50,17.70,23.60,2.50,3.30,1.40,17.70,90.40,20.30,1007.00,1010.50,1007.80,1009.10,3.70,25.40,1.00
90.00,19.20,17.30,22.70,2.00,4.20,1.50,18.80,98.00,21.70,1004.60,1007.90,1005.30,1006.70,4.10,21.60,1.00
90.00,20.30,18.20,23.20,0.10,4.20,1.40,19.20,94.10,22.30,1004.50,1007.30,1005.70,1006.60,10.30,25.50,0.00
90.00,21.30,16.90,25.90,0.00,5.20,1.80,18.70,86.90,21.60,1005.40,1008.20,1006.50,1007.50,13.50,28.30,0.00
90.00,21.30,18.60,24.50,0.00,3.00,1.30,20.80,97.40,24.60,1004.80,1008.20,1005.50,1006.90,7.60,26.60,0.00
90.00,22.40,19.20,27.20,0.00,2.60,1.10,20.00,87.60,23.30,1001.90,1005.80,1002.30,1004.00,11.00,29.20,1.00
90.00,22.10,19.40,26.10,1.50,3.30,1.40,20.60,92.40,24.30,999.70,1003.60,1000.50,1001.80,9.90,27.80,1.00
90.00,21.20,18.20,24.40,0.50,3.00,1.40,20.30,95.60,23.90,1003.70,1008.00,1003.10,1005.80,9.10,24.20,0.00
90.00,21.80,18.20,25.60,0.00,4.40,2.10,20.40,92.40,24.00,1006.30,1009.40,1007.40,1008.40,12.00,29.80,0.00
90.00,21.90,18.80,25.40,0.00,3.90,1.50,21.40,97.50,25.60,1008.00,1011.00,1008.80,1010.10,10.40,28.20,0.00
90.00,22.50,20.60,25.20,0.00,4.20,2.10,22.20,98.80,26.70,1007.00,1011.00,1007.10,1009.10,3.20,27.00,1.00
90.00,21.50,20.40,22.50,46.00,4.00,1.40,21.40,100.00,25.50,1002.20,1007.00,1003.00,1004.30,0.00,23.00,1.00
90.00,22.30,19.70,24.70,0.20,4.10,1.90,21.60,96.50,25.80,1006.40,1011.30,1004.70,1008.50,8.80,26.50,0.00
90.00,21.90,18.70,26.00,0.00,3.10,1.60,19.70,88.60,23.00,1009.90,1013.10,1011.10,1012.00,8.00,25.30,0.00
90.00,21.60,18.90,24.60,0.00,4.30,1.80,20.30,92.90,23.80,1006.30,1011.10,1006.70,1008.40,7.80,24.70,0.00
90.00,21.90,16.90,25.70,0.00,5.30,2.20,20.40,91.80,24.00,1004.90,1008.10,1006.00,1007.00,13.50,28.20,1.00
90.00,23.00,21.00,26.30,0.00,3.50,1.60,21.90,94.10,26.30,1004.30,1008.40,1004.60,1006.30,7.80,28.90,1.00
90.00,25.70,22.70,31.00,19.00,5.00,1.80,23.80,91.30,29.50,1000.00,1005.30,997.60,1002.00,5.80,28.10,0.00
90.00,24.30,22.20,27.00,0.00,6.90,2.00,22.40,89.90,27.10,993.00,997.60,994.10,995.00,11.00,27.30,0.00
