지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),최다풍향(16방위),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조 시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),기사,안개 계속시간(hr),다음날
90,2014-01-11,1.5,-2.4,730,5.2,1518,,,,,,,13.8,270,2339,7.9,270,2351,3.2,2786,270,-14.1,18,1526,31.6,2.1,1025.8,1030.6,1009,1025.8,2348,1028.1,9.7,8.8,,,,,,,,,1.9,0,-1.3,-6,,,,,,,,,,,,,,,X
90,2014-01-12,1.2,-2.6,2330,5.3,1425,,,,,,,12.2,320,1106,7.9,270,11,3.3,2878,270,-10.8,22,1542,41.4,2.8,1022.8,1028,2350,1021.9,1333,1025.1,9.7,6.3,,,,,,,,,2.9,2.4,-0.7,-4.9,,,,,,,,,,,,,,,X
90,2014-01-13,-3.2,-7.6,810,0.8,1449,,,,,,,7.6,270,843,4.4,340,2,1.6,1356,270,-17.4,19,941,32.9,1.6,1027.6,1031.4,955,1028,1,1029.9,9.8,9.1,,,,,,,,,0,0,-3.3,-10.5,,,,,,,,,,,,,,,X
90,2014-01-14,-3.3,-7.2,642,0.9,1313,,,,,,,6.3,340,1602,4.2,340,1552,1.9,1638,270,-13.5,27,1019,46.3,2.2,1029.2,1032.8,859,1030.4,1352,1031.6,9.8,9.2,,,,,,,,,0.3,0.3,-3.3,-9.4,,,,,,,,,,,,,,,X
90,2014-01-15,-0.7,-8.8,631,5.4,1451,,,,,,,10.4,270,1724,4.7,290,1728,1.6,1378,250,-13.7,22,1504,37.8,2.1,1027.7,1032,249,1028.1,1643,1030,9.8,9.1,,,,,,,,,0,0,-2.5,-9.7,,,,,,,,,,,,,,,X
90,2014-01-16,1.4,-3.1,703,5.9,1449,,,,,,,10.7,290,1159,6,270,1204,1.7,1492,290,-7.6,37,7,52,3.5,1025.2,1029.7,940,1025.8,1351,1027.5,9.8,7.6,,,,,,,,,4.6,2.5,-1.2,-6.3,,,,,,,,,,,,,{햇무리}1450-1540. {연무}1540-{연무}{강도0}1800-{연무}{강도0}2100-{연무}{강도0}2400-,,X
90,2014-01-17,0.7,-3,748,4.1,1344,,,,,,,5.1,290,2225,3.9,270,2309,1.6,1399,270,-6.4,44,1158,59.6,3.8,1023.1,1027.7,1012,1023.2,2359,1025.4,9.8,7.3,,,,,,,,,4.4,2.5,-1.1,-5.5,,,,,,,,,,,,,-{연무}-{연무}{강도0}0300-{연무}{강도0}0600-{연무}{강도0}0900-{연무}{강도0}1200-{연무}{강도0}1500-1520.,,X
90,2014-01-18,-0.4,-3.8,2129,2.9,1216,,,,,,,13.4,340,1431,9.1,340,1437,3.2,2806,270,-11.4,31,1303,43.5,2.6,1022.6,1028.9,2331,1022,539,1024.9,9.9,7.2,,,,,,,,,2.6,2.4,-1.9,-6.6,,,,,,,,,,,,,,,X
90,2014-01-19,-0.6,-5.3,505,3.5,1509,,,,,,,10.6,250,1,3.4,140,1433,1.7,1499,270,-12.8,24,2328,39.9,2.3,1024.9,1031.3,946,1022.7,2400,1027.2,9.9,7.5,,,,,,,,,4.6,2,-1.8,-8,,,,,,,,,,,,,,,O
90,2014-01-20,1.3,-0.5,820,4.2,1449,3,,,,,0.1,6.1,270,1721,4.5,270,1724,1.8,1537,250,-4.4,23,9,67.5,4.5,1015.4,1022.7,1,1014.8,1404,1017.7,9.9,2.1,,,,0,,0,,0,8.9,6.6,0.3,-2.6,,,,,,,,,,,,,{눈}0750-{눈}{강도0}0900-1020. {연무}1740-{연무}{강도0}1800-1820. {눈}2320-2350.,,O
90,2014-01-21,-2.9,-4.8,2222,0.6,108,8,,,,,14.1,7.8,270,817,4.3,290,825,2.1,1857,270,-5.6,53,621,82.8,4.1,1020.3,1025.5,2157,1017.8,114,1022.6,9.9,0.3,,,,13.3,1310,13.3,1310,13.3,5.8,5.5,-4.1,-10.1,,,,,,,,,,,,,{눈}0750-{눈}{강도0}0900-{눈}{강도0}1200-{눈}{강도0}1500-1550.,,X
90,2014-01-22,-1.1,-7.5,441,4.9,1448,,,,,,,7.4,290,143,3.2,270,1319,1.4,1199,250,-10.3,26,1214,52,2.8,1022.7,1026.5,2301,1023.3,1336,1025,10,8.9,,,,,,12,1,,1.1,0.6,-1.4,-12.4,,,,,,,,,,,,,,,X
90,2014-01-23,1.6,-4.8,751,7.4,1451,,,,,,,5,270,2116,3,290,2123,1.2,1076,270,-6.9,38,1856,53.8,3.6,1021,1026.4,1,1019.5,2346,1023.3,10,9.1,,,,,,5.9,1,,1.6,1.3,-0.6,-7.9,,,,,,,,,,,,,,,X
90,2014-01-24,6.9,0.6,127,10.6,1447,,,,,,,9.5,270,1911,5.7,270,1909,1.9,1606,20,-1.6,39,424,54.8,5.5,1014.9,1019.7,1,1015.5,1355,1017.2,10,5.9,,,,,,2.9,1,,7.6,5.4,1.9,-0.6,,,,,,,,,,,,,,,O
90,2014-01-25,4.9,1.9,2357,10.4,128,10,,,,,7.5,7.8,340,1320,4.5,340,1433,2,1686,320,2.6,58,22,86.8,7.4,1014,1019.1,2351,1013.9,1329,1016.2,10.1,0,,,,,,0.7,1,,9.6,7.8,2.6,1.4,,,,,,,,,,,,,{비}0740-{비}{강도0}0900-{비}{강도0}1200-{비}{강도1}1500-1740. {박무}1040-{박무}{강도0}1200-{박무}{강도0}1500-1750. {박무}2320-{박무}{강도0}2400-,,O
90,2014-01-26,0.3,-3,2355,3.4,1411,4.5,,,,,0.2,10.9,340,313,7.3,340,609,2.6,2232,340,-4.8,51,1402,69.1,4.3,1023.9,1029,1042,1019.1,1,1026.2,10.1,6.6,,,,0.2,850,0.2,850,0.2,4.6,4.1,1.7,-4.7,,,,,,,,,,,,,-{박무}-0120. {박무}0630-0710. {눈}0550-{눈}{강도0}0600-{눈}{강도0}0900-1020.,,X
90,2014-01-27,4.4,-3.6,108,9.5,1454,,,,,,,10.2,340,1912,6.1,340,1901,2.6,2265,340,-11.7,17,1537,33.4,2.6,1017.3,1025.5,1,1015.6,1746,1019.6,10.1,9.2,,,,,,,,,1.9,0.3,0.7,-5,,,,,,,,,,,,,,,X
90,2014-01-28,4.3,-1.6,2331,7.8,1123,,,,,,,11.2,250,936,6.2,270,939,3,2584,340,-3.7,29,1,56.6,4.7,1018.3,1024.1,2142,1016.4,605,1020.5,10.2,9.4,,,,,,,,,2.8,1.8,2.2,-3.1,,,,,,,,,,,,,,,X
90,2014-01-29,7.4,-2.1,411,12.6,2234,,,,,,,14.3,360,2336,6.2,340,2246,2.5,2133,340,-12.1,11,2056,25.3,2.5,1015.6,1023.9,1,1011.1,2317,1017.9,10.2,8.1,,,,,,,,,3.8,2.4,1.5,-4.3,,,,,,,,,,,,,,,X
90,2014-01-30,8.6,3.4,2302,12,223,,,,,,,17,230,323,9.1,270,1436,4.1,3514,270,-3.7,17,2358,44.1,5.3,1008.7,1017.8,2359,1006.4,1330,1010.9,10.2,6.7,,,,,,,,,2.4,2.1,4.7,0.8,,,,,,,,,,,,,{무지개}1030-1120.,,X
90,2014-01-31,3.6,-1.3,741,6.9,1318,,,,,,,13.5,290,116,6.8,270,53,2.2,1870,250,-12,17,13,32,2.6,1020.1,1024.5,1019,1017.7,2,1022.3,10.3,9.1,,,,,,,,,0.8,0.5,0.9,-4.4,,,,,,,,,,,,,,,O
90,2014-02-01,3.4,0.7,1646,6.2,821,14.58,,,,,16.5,5.6,320,1245,3.9,340,1250,1.6,1379,290,-2,26,6,73.3,5.5,1016.3,1021.2,10,1014.1,2352,1018.6,10.3,0,,,,2.5,1950,2.5,1950,2.5,9.4,7.5,0.4,-0.2,,,,,,,,,,,,,{비}0925-{비}{강도0}1200-{진눈깨비}1355-{눈}1420-{진눈깨비}1450-{진눈깨비}{강도0}1500-{눈}1510-{진눈깨비}1540-{눈}1610-{눈}{강도0}1800-{진눈깨비}1930-{비}2030-{비}{강도0}2100-{비}{강도0}2400-,,O
90,2014-02-02,7.4,1.7,508,14.3,1412,8.17,,,,,2,13.6,230,1338,4.7,230,1342,2,1766,250,2.4,46,1757,74.8,7.4,1004.6,1014.1,1,1002.9,1349,1006.9,10.3,7.1,,,,,,2.2,1,,5.6,4.8,4.5,1,,,,,,,,,,,,,-{비}-{비}{강도0}0300-{비}{강도0}0600-0810. {박무}0140-0230. {박무}0310-0540.,,X
90,2014-02-03,1.6,-4.5,2358,8.8,116,,,,,,,12.1,340,1212,8.3,340,1328,4.1,3514,340,-9.4,25,1801,45,3.2,1011.1,1018.7,2348,1007.8,2,1013.4,10.4,3.5,,,,,,,,,3.5,2.4,0.8,-5.7,,,,,,,,,,,,,,,X
90,2014-02-04,-4.2,-7.4,635,-0.1,1448,,,,,,,8.9,250,920,5.5,270,1535,2.5,2176,270,-19.6,20,1334,29.3,1.3,1019.3,1025.4,2354,1018.4,340,1021.6,10.4,9.7,,,,,,,,,0.1,0.1,-1.9,-8.6,,,,,,,,,,,,,,,X
90,2014-02-05,-4.1,-7.9,514,-0.3,1425,,,,,,,4.8,270,551,3.2,270,820,1.8,1576,270,-14.3,28,1,46,2.1,1026.1,1030.7,953,1025.4,1,1028.4,10.4,9.4,,,,,,,,,2.1,0,-1.7,-9,,,,,,,,,,,,,,,O
90,2014-02-06,-1.1,-5.3,35,1.3,1449,3.83,,,,,0.1,7.4,360,1543,5.1,340,1257,2.4,2084,290,-8.9,33,729,57,3.3,1025.7,1029.3,914,1026.5,1414,1028,10.5,4.1,,,,,,,,,9.1,5.1,-0.2,-5.8,,,,,,,,,,,,,{눈}1750-{눈}{강도0}1800-{눈}{강도0}2100-2140.,,O
90,2014-02-07,0,-2.4,809,1.1,1319,19.17,,,,,12.4,9.4,70,2003,5.8,70,2003,3.3,2852,70,-2.1,64,325,86.4,5.3,1023.3,1028.1,41,1023.5,2333,1025.6,10.5,0,,,,11.1,2230,11.1,2230,11.1,10,8.3,-0.1,-5.5,,,,,,,,,,,,,{눈}0450-{눈}{강도0}0600-{눈}{강도0}0900-{눈}{강도1}1200-{눈}{강도0}1500-{눈}{강도0}1800-{눈}{강도0}2100-{눈}{강도0}2400- {박무}2320-{박무}{강도0}2400-,,O
90,2014-02-08,-0.5,-1.6,22,0.5,1044,24,,,,,19.8,8.1,70,227,5.5,70,154,2.5,2178,70,-2,76,1051,90,5.3,1018.5,1023.5,1,1019.2,1446,1020.8,10.5,0,,,,15.5,2400,21,2400,16.7,10,9,0.2,0.4,,,,,,,,,,,,,-{눈}-{눈}{강도0}0300-{눈}{강도0}0600-{눈}{강도0}0900-{눈}{강도0}1200-{눈}{강도0}1500-{눈}{강도0}1800-{눈}{강도1}2100-{눈}{강도1}2400- -{박무}-{박무}{강도1}0300-{박무}{강도0}0600-{박무}{강도0}0900-1030. {박무}1320-{박무}{강도0}1500-{박무}{강도0}1800-{박무}{강도1}2100-{박무}{강도1}2400-,,O
90,2014-02-09,-1.5,-2.6,115,-0.4,808,24,,,,,44.6,12.1,360,807,6.6,360,812,2.7,2335,20,-1.9,83,612,97.4,5.4,1020.6,1026,2355,1019.4,33,1022.9,10.6,0,,,,41.7,2400,58,2400,41.7,10,8.5,0.2,-2.8,,,,,,,,,,,,,-{박무}-{박무}{강도2}0300-0510. -{눈}-{눈}{강도2}0300-{눈}{강도0}0600-{눈보라}0810-{시정(미만)}{1km}{눈보라}0830-{눈보라}{강도1}0900-{눈}0930-{시정(이상)}{1km}{눈}1020-{눈}{강도1}1200-{시정(미만)}{1km}{눈}1330-{눈}{강도1}1500-{시정(이상)}{1km}{눈}1520-{눈}{강도1}1800-{눈}{강도1}2100-{눈}{강도1}2400-,,O
90,2014-02-10,-2.5,-3.6,2023,-1.7,732,24,,,,,29.7,6.6,50,1049,3.8,20,835,1.7,1430,50,-3.2,85,1027,94.8,4.8,1026.6,1030.3,2247,1025.9,13,1028.9,10.6,0,,,,27.8,2400,79.5,2400,27.8,10,8.3,0.2,-2.5,,,,,,,,,,,,,-{눈}-{눈}{강도2}0300-{시정(미만)}{1km}{눈}0330-{시정(이상)}{1km}{눈}0420-{눈}{강도0}0600-{눈}{강도1}0900-{눈}{강도1}1200-{눈}{강도1}1500-{눈}{강도1}1800-{눈}{강도1}2100-{눈}{강도1}2400-,,O
90,2014-02-11,-1.8,-3.8,2352,0.2,1443,21.67,,,,,8.8,6.7,50,1526,3.8,70,1529,1.2,1062,270,-2.2,92,1446,97,5.2,1026.5,1030.3,7,1027.5,1846,1028.8,10.6,0,,,,8.3,2055,83.5,1850,8.3,9.1,7.1,0.2,0.4,,,,,,,,,,,,,-{눈}-{눈}{강도0}0300-{눈}{강도0}0600-{눈}{강도0}0900-{눈}{강도0}1200-{눈}{강도0}1500-{눈}{강도0}1800-{눈}{강도0}2100-2140.,,X
90,2014-02-12,-1.4,-5.6,621,2.8,1235,,,,,,,7.2,340,1552,4.9,340,1546,2.1,1821,270,-4.1,66,1231,81.6,4.5,1028,1031.7,2121,1028.8,410,1030.4,10.7,5.6,,,,,,81.5,1,,6.9,6.9,0.2,0.4,,,,,,,,,,,,,,,O
90,2014-02-13,-0.5,-2,322,1.1,1316,23.17,,,,,22.6,4.2,70,753,2.7,70,756,1.2,1024,270,-1.4,77,101,93.4,5.5,1031.1,1034.5,1021,1031.4,1,1033.4,10.7,0,,,,20.2,1255,64,1255,20.6,10,8.9,0.2,-4.4,,,,,,,,,,,,,{눈}0050-{시정(미만)}{1km}{눈}0230-{눈}{강도1}0300-{눈}{강도1}0600-{시정(이상)}{1km}{눈}0810-{눈}{강도0}0900-{눈}{강도1}1200-{눈}{강도0}1500-{눈}{강도0}1800-{눈}{강도0}2100-{눈}{강도0}2400-,,O
90,2014-02-14,0,-1.8,2346,2.9,1312,16.83,,,,,5.4,9,270,2326,4.6,90,1015,1.6,1390,270,-0.6,77,636,95.8,5.9,1028.2,1033.3,1,1027.7,2337,1030.5,10.7,1.2,,,,4.8,1155,54.8,1155,4.8,8.8,7.4,0.2,0.4,,,,,,,,,,,,,-{눈}-{눈}{강도0}0300-{눈}{강도0}0600-{눈}{강도1}0900-{싸락눈}1050-{눈}1130-{눈}{강도0}1200-1230. {눈}1350-{눈}{강도0}1500-{눈}{강도0}1800-1810.,,X
90,2014-02-15,0.5,-4,653,5.3,1129,,,,,,,5.6,360,1323,3.3,360,1336,1.5,1295,270,-2.5,52,1232,80.6,5.1,1025,1028,224,1026.6,1730,1027.3,10.8,10,,,,,,47,1,,1.4,1.4,0.2,0.3,,,,,,,,,,,,,,,X
90,2014-02-16,3.1,-3.4,407,8.1,1419,,,,,,,5,270,1937,2.8,140,1320,1.5,1282,250,-2.4,43,2124,67.9,5.2,1024.7,1028.7,1016,1025.7,1434,1027,10.8,5.8,,,,,,40,1,,5.3,1.8,0.2,0.3,,,,,,,,,,,,,{햇무리}0935-1040. {햇무리}1430-1530.,,O
90,2014-02-17,1.5,-0.3,1743,4.3,247,17.17,,,,,3.7,8.7,340,247,5.9,340,255,2.6,2284,70,-1.3,52,1,82,5.6,1028.7,1032.3,2248,1028.2,1,1031,10.9,0,,,,2.6,2400,33.8,2400,3,9.5,7.5,0.3,0.4,,,,,,,,,,,,,{진눈깨비}0650-{진눈깨비}{강도0}0900-{눈}1015-{눈}{강도0}1200-{눈}{강도0}1500-{진눈깨비}1530-{눈}1630-{눈}{강도0}1800-{눈}{강도0}2100-{눈}{강도0}2400-,,O
90,2014-02-18,-0.9,-2,2241,0.5,1,18.17,,,,,6.2,6.5,90,126,4.1,90,16,1.4,1167,270,-2,77,253,91.6,5.3,1028.2,1032.3,20,1028.7,1647,1030.5,10.9,0,,,,7,2400,38.7,2400,7,10,7.9,0.2,0.4,,,,,,,,,,,,,-{눈}-{눈}{강도0}0300-{눈}{강도0}0600-{눈}{강도0}0900-{눈}{강도1}1200-{눈}{강도0}1500-1750. {눈}2340-{눈}{강도0}2400-,,O
90,2014-02-19,0.6,-1.8,1,3.5,1234,9.67,,,,,0.2,3.9,140,1657,2.7,140,1437,1.2,1074,270,-1.8,68,1334,83.4,5.4,1025.1,1029.5,18,1025.5,1639,1027.4,10.9,1.7,,,,0.2,750,38.7,1,0.2,8.5,6.4,0.2,0.4,,,,,,,,,,,,,-{눈}-{눈}{강도0}0300-{눈}{강도0}0600-{눈}{강도0}0900-0940.,,O
90,2014-02-20,0.9,-1.5,654,3.7,1212,7.17,,,,,1.2,6.9,320,118,4.2,340,1355,1.8,1561,270,-1.2,70,1102,85.6,5.6,1025,1028.8,2355,1026,1350,1027.3,11,3.3,,,,,,27.5,1,,8.3,4.9,0.2,-1,,,,,,,,,,,,,{눈}1530-{눈}{강도0}1800-{진눈깨비}1830-{눈}1930-{눈}{강도1}2100-2240.,,X
90,2014-02-21,0.4,-2.9,531,4.5,1204,,,,,,,5.2,360,1444,3.1,360,1412,1.6,1367,270,-1.7,64,1118,86,5.4,1027.7,1031.4,2224,1028.5,321,1030,11,6.6,,,,,,27.5,1,,3.8,3.4,0.2,-3.7,,,,,,,,,,,,,{연무}1050-{연무}{강도0}1200-1450. {박무}1440-{박무}{강도0}1500-{박무}{강도0}1800-1830.,,O
90,2014-02-22,0.4,-2.6,601,3.3,1349,1.67,,,,,0,6,20,1340,3.4,20,1347,1.6,1415,270,-2,69,1130,84.1,5.3,1030.1,1033.5,919,1031.3,10,1032.4,11.1,4.7,,,,,,24.5,1,,6,6,0.2,-3.8,,,,,,,,,,,,,{박무}0540-{박무}{강도0}0600-{박무}{강도0}0900-1030. {박무}1640-{박무}{강도0}1800-{박무}{강도0}2100-2320. {진눈깨비}1630-{진눈깨비}{강도0}1800-1810.,,X
90,2014-02-23,1.5,-1.1,31,5,1355,,,,,,,4,50,1357,2.7,20,1309,1.2,1007,290,-0.8,74,1006,84.8,5.8,1029.1,1033.2,831,1029.6,2336,1031.4,11.1,5.7,,,,,,21.5,1,,5.3,5.3,0.3,-2.9,,,,,,,,,,,,,{박무}1840-1920. {박무}2230-{박무}{강도0}2400-,,X
90,2014-02-24,3.7,-1.8,607,7.2,2303,,,,,,,5.5,270,816,2.5,270,2127,1.2,1039,270,0.3,52,2303,79.8,6.3,1025.3,1029.6,1,1025.9,1541,1027.6,11.1,7.3,,,,,,19,1,,0.3,0.3,0.2,-4,,,,,,,,,,,,,-{박무}-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도0}0900-{박무}{강도0}1200-{박무}{강도0}1500-{박무}{강도0}1800-2050. {연무}2040-{연무}{강도0}2100-{연무}{강도0}2400-,,X
90,2014-02-25,6.9,1.9,2319,11.3,1139,,,,,,,4.7,140,1601,3.3,140,1605,1.5,1259,140,-0.2,43,1138,61.3,6.1,1024.8,1028.4,1114,1025.9,4,1027,11.2,9.2,,,,,,14.5,1,,1.1,1.1,1.2,-2.3,,,,,,,,,,,,,-{연무}-{연무}{강도0}0300-{연무}{강도0}0600-{연무}{강도0}0900-{연무}{강도0}1200-{연무}{강도0}1500-{연무}{강도0}1800-{연무}{강도0}2100-{연무}{강도0}2400-,,X
90,2014-02-26,3.3,-0.5,2259,9.1,1224,,,,,,,3.6,20,1358,2.7,20,1358,1,887,360,1,59,1001,86.3,6.7,1023.4,1027.8,836,1022.9,2343,1025.6,11.2,8.8,,,,,,9.5,1,,5.1,4.9,3.5,-3.5,,,,,,,,,,,,,-{연무}-0230. {연무}0830-{연무}{강도0}0900-{연무}{강도0}1200-1430. {박무}0220-{박무}{강도0}0300-{박무}{강도0}0600-0840. {박무}1420-{박무}{강도0}1500-{시정(미만)}{1km}{안개}1750-{안개}{강도0}1800-{시정(미만)}{0.5km}{안개}1810-{시정(미만)}{0.2km}{안개}1820-{안개}{강도2}2100-{시정(이상)}{0.2km}{안개}2120-{시정(이상)}{0.5km}{안개}2140-{시정(미만)}{0.5km}{안개}2240-{안개}{강도1}2400-,6.17,X
90,2014-02-27,7.4,-0.8,321,16.7,1528,,,,,,,9.9,270,1424,4.8,270,1517,2,1710,200,1,29,1504,69.9,6.6,1016.2,1022.9,1,1014.5,1628,1018.5,11.3,6.8,,,,,,6.5,1,,6.6,3,5,-3,,,,,,,,,,,,,-{안개}-{시정(미만)}{0.2km}{안개}0020-{안개}{강도2}0300-{시정(이상)}{0.2km}{안개}0315-{시정(이상)}{0.5km}{안개}0320-{시정(이상)}{1km}{박무}0330-{박무}{강도1}0600-{박무}{강도1}0900-{박무}{강도0}1200-1340. {햇무리}0940-1120. {연무}1320-{연무}{강도0}1500-{연무}{강도0}1800-{연무}{강도0}2100-{연무}{강도0}2400-,3.5,O
90,2014-02-28,5,3.4,2305,6.5,140,1.67,,,,,0,10.1,360,2345,4.9,360,53,2.5,2148,90,0.5,56,721,73.3,6.3,1022.2,1027.3,919,1020.4,1,1024.4,11.3,0,,,,,,3.5,1,,9.8,6.1,3.9,2.8,,,,,,,,,,,,,-{연무}-{연무}{강도0}0300-0330. {비}1240-1420.,,O
90,2014-03-01,3.7,1.7,2253,5.7,1005,5.67,,,,,3,10.7,340,1533,7.8,340,1538,3.1,2658,340,1.6,77,956,86.6,6.9,1018,1021.9,134,1018.2,1510,1020.3,11.3,1.3,,,,,,,,,10,7.9,4.6,1.3,,,,,,,,,,,,,{박무}0230-{박무}{강도0}0300-0430. {비}1820-{비}{강도0}2100-{비}{강도0}2400- {박무}2150-2310.,,O
90,2014-03-02,1.7,-0.6,2328,3.6,449,13.17,,,,,8.5,6.1,20,458,3.7,270,101,1.7,1458,270,0.5,76,1642,92.4,6.4,1020.4,1025.7,2358,1020.3,427,1022.7,11.4,0,,,,1,1055,1,1055,1.3,7.8,6.9,2.3,-2.6,,,,,,,,,,,,,-{비}-{진눈깨비}0120-{진눈깨비}{강도0}0300-{비}0440-{비}{강도0}0600-{진눈깨비}0620-{진눈깨비}{강도0}0900-{눈}0930-{진눈깨비}1130-{진눈깨비}{강도0}1200-1310.,,X
