瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),弥历扁柯(∑C),弥绊扁柯(∑C),老碍荐樊(mm),乞闭 捞浇痢柯档(∑C),弥家 惑措嚼档(%),乞闭 惑措嚼档(%),乞闭 刘扁拘(hPa),乞闭 泅瘤扁拘(hPa),弥绊 秦搁扁拘(hPa),弥历 秦搁扁拘(hPa),乞闭 秦搁扁拘(hPa),啊炼矫埃(hr),钦拌 老炼 矫埃(hr),钦拌 老荤(MJ/m2),老 弥缴脚利汲(cm),老 弥缴利汲(cm),乞闭 傈款樊(1/10),乞闭 吝窍摸款樊(1/10),乞闭 瘤搁柯档(∑C),弥历 檬惑柯档(∑C),Rain
156,堡林,2010-10-13,16.0,12.7,21.0,0,10.9,48.0,73.1,13.1,1006.6,1017.5,1013.3,1015.3,11.4,2.9,11.63,0,0,5.3,3.8,18.8,9.6,0
156,堡林,2010-10-14,15.5,9.8,21.1,0,9.0,38.0,67.1,11.5,1006.4,1016.6,1013.1,1015.2,11.4,5.8,12.78,0,0,5.1,2.8,17.4,8.2,0
156,堡林,2010-10-15,15.3,11.4,19.4,0,4.3,24.0,51.0,8.5,1009.3,1020.0,1015.8,1018.1,11.3,10.2,18.07,0,0,0.5,0.3,17.7,7.7,0
156,堡林,2010-10-16,14.9,8.5,22.4,0,6.9,28.0,62.3,10.0,1012.2,1022.9,1019.1,1021.1,11.3,9.8,16.53,0,0,1.9,1.5,17.8,5.8,0
156,堡林,2010-10-17,16.1,11.2,22.7,0,10.4,45.0,70.6,12.7,1014.7,1025.3,1021.4,1023.6,11.3,7.4,12.91,0,0,1.4,1.4,18.2,8.8,0
156,堡林,2010-10-18,16.7,11.4,24.3,0,10.0,30.0,68.0,12.3,1015.9,1026.5,1022.7,1024.8,11.2,9.5,15.57,0,0,1.0,0.0,19.2,8.2,0
156,堡林,2010-10-19,17.2,11.9,23.0,0,10.2,44.0,65.1,12.5,1014.9,1025.6,1022.3,1023.7,11.2,5.1,11.42,0,0,4.4,0.0,18.3,8.7,0
156,堡林,2010-10-20,16.9,12.2,23.8,0,11.1,42.0,71.0,13.2,1012.4,1023.5,1019.1,1021.3,11.2,6.9,13.11,0,0,5.0,3.4,18.9,9.5,0
156,堡林,2010-10-21,17.0,11.8,23.4,0,11.9,45.0,73.5,13.9,1010.4,1020.6,1017.1,1019.2,11.1,6.4,13.69,0,0,3.8,1.8,19.2,8.9,0
156,堡林,2010-10-22,17.6,13.3,23.7,0,9.7,35.0,62.1,12.1,1012.4,1022.8,1019.6,1021.2,11.1,9.2,16.31,0,0,3.1,0.4,20.3,10.1,1
156,堡林,2010-10-23,16.7,12.6,21.4,0.5,10.8,52.0,69.3,13.0,1010.5,1022.4,1017.2,1019.3,11.1,0.2,8.01,0,0,8.0,3.5,17.6,8.9,1
156,堡林,2010-10-24,17.3,15.3,20.1,10.5,15.6,73.0,90.4,17.8,1004.7,1017.6,1011.4,1013.5,11.0,0.0,4.87,0,0,9.6,5.6,18.8,14.9,0
156,堡林,2010-10-25,13.3,8.8,17.2,0,5.6,34.0,62.3,9.8,1007.9,1022.4,1012.5,1016.8,11.0,5.2,13.87,0,0,3.3,1.8,15.7,7.2,0
156,堡林,2010-10-26,6.3,2.5,10.1,0,-9.3,19.0,32.4,3.0,1018.5,1030.9,1022.4,1027.7,11.0,10.3,17.51,0,0,0.1,0.0,9.8,-0.6,0
156,堡林,2010-10-27,8.0,1.5,15.0,0,-3.9,28.0,43.6,4.7,1018.8,1030.9,1026.0,1028.0,10.9,6.3,13.14,0,0,3.8,1.5,9.7,-1.1,0
156,堡林,2010-10-28,8.6,3.8,14.5,0,-2.9,15.0,47.5,5.0,1015.4,1026.0,1022.4,1024.6,10.9,10.0,16.65,0,0,0.0,0.0,11.6,0.4,0
156,堡林,2010-10-29,10.7,4.1,18.7,0,-0.2,19.0,49.4,6.1,1016.3,1027.1,1023.1,1025.3,10.9,9.9,16.41,0,0,0.1,0.0,12.5,-0.4,0
156,堡林,2010-10-30,13.7,7.9,20.1,0,4.7,34.0,56.8,8.6,1016.4,1026.8,1023.4,1025.3,10.8,8.5,15.31,0,0,3.8,3.6,15.6,4.6,0
156,堡林,2010-10-31,12.7,8.9,18.1,0,3.8,29.0,58.6,8.1,1014.2,1025.8,1021.6,1023.2,10.8,9.2,15.26,0,0,1.8,1.8,15.2,5.0,0
156,堡林,2010-11-01,11.6,6.9,17.1,0,4.4,33.0,64.3,8.4,1012.3,1023.0,1019.6,1021.3,10.8,9.2,14.27,0,0,1.0,1.0,13.0,3.5,0
156,堡林,2010-11-02,9.2,5.1,12.5,0,-0.4,31.0,52.5,6.0,1014.3,1026.0,1020.7,1023.4,10.7,9.1,14.46,0,0,3.5,0.8,12.5,0.7,0
156,堡林,2010-11-03,8.1,2.1,14.7,0,0.1,32.0,59.5,6.2,1017.6,1028.2,1025.2,1026.8,10.7,8.9,14.53,0,0,0.6,0.5,10.7,-1.2,0
156,堡林,2010-11-04,9.7,3.0,17.5,0,3.9,30.0,69.6,8.1,1016.7,1027.8,1023.9,1025.8,10.7,9.1,14.05,0,0,0.3,0.3,11.5,-0.2,0
156,堡林,2010-11-05,10.8,5.0,18.1,0,5.9,36.0,74.6,9.3,1015.7,1026.6,1022.6,1024.8,10.6,8.4,12.33,0,0,0.1,0.1,12.2,1.6,0
156,堡林,2010-11-06,10.3,3.8,19.5,0,4.6,25.0,73.0,8.6,1013.9,1025.0,1020.9,1023.0,10.6,8.2,13.3,0,0,3.3,2.5,12.3,0.9,0
156,堡林,2010-11-07,10.5,4.6,17.4,0,5.6,46.0,74.3,9.1,1009.7,1022.5,1015.5,1018.7,10.6,6.6,12.01,0,0,3.9,1.3,12.4,1.3,1
156,堡林,2010-11-08,9.7,5.3,13.7,1.0,4.0,47.0,68.6,8.3,1007.9,1019.3,1014.7,1017.0,10.5,0.9,5.15,0,0,9.3,7.8,10.6,4.0,1
156,堡林,2010-11-09,7.9,5.8,10.6,0.0,-1.6,33.0,52.5,5.5,1011.1,1021.4,1018.5,1020.2,10.5,2.3,7.95,0,0,7.5,7.5,9.1,2.1,0
156,堡林,2010-11-10,8.3,3.3,13.5,0,1.2,40.0,62.5,6.7,1012.5,1023.3,1020.5,1021.7,10.5,6.8,10.17,0,0,3.1,3.1,9.2,-0.5,1
156,堡林,2010-11-11,13.0,5.7,19.1,0.0,5.0,29.0,60.6,9.1,1008.2,1021.2,1012.8,1017.2,10.5,3.8,8.18,0,0,6.4,5.4,12.0,2.4,0
156,堡林,2010-11-12,11.7,7.3,16.3,0,-1.5,23.0,41.6,5.5,1014.0,1026.4,1017.5,1023.1,10.4,9.2,13.83,0,0,1.6,1.4,12.7,2.2,0
156,堡林,2010-11-13,9.8,3.6,16.5,0,1.5,33.0,58.5,6.8,1017.5,1028.1,1024.8,1026.6,10.4,3.1,7.93,0,0,5.5,0.0,8.9,-1.0,0
156,堡林,2010-11-14,9.8,7.2,13.6,0,-1.7,19.0,50.3,6.1,1019.1,1030.9,1026.4,1028.2,10.4,1.1,7.33,0,0,6.9,3.1,11.0,4.6,0
156,堡林,2010-11-15,5.0,1.3,8.6,0,-8.7,18.0,38.4,3.2,1021.0,1033.3,1028.3,1030.4,10.3,9.4,13.98,0,0,1.3,1.1,8.9,-2.9,0
156,堡林,2010-11-16,5.0,0.1,11.3,0,-5.1,30.0,49.3,4.3,1017.3,1030.2,1024.0,1026.6,10.3,8.1,12.16,0,0,0.8,0.3,6.6,-4.1,0
156,堡林,2010-11-17,7.9,2.7,13.5,0,-0.6,34.0,56.6,5.9,1016.6,1026.9,1024.5,1025.8,10.3,8.7,11.97,0,0,2.0,2.0,9.6,-0.5,0
156,堡林,2010-11-18,7.3,1.9,14.0,0,-1.4,29.0,57.8,5.5,1016.4,1027.8,1023.6,1025.6,10.3,9.1,12.36,0,0,0.0,0.0,8.3,-2.2,0
156,堡林,2010-11-19,6.2,0.8,13.6,0,-1.1,26.0,61.9,5.7,1011.9,1024.5,1019.0,1021.1,10.2,5.5,8.67,0,0,2.6,0.0,6.6,-3.0,0
156,堡林,2010-11-20,9.1,1.8,17.3,0,2.3,39.0,64.4,7.3,1009.7,1020.6,1016.8,1018.8,10.2,8.6,11.24,0,0,0.9,0.9,9.0,-1.3,0
156,堡林,2010-11-21,11.9,4.9,18.5,0,6.3,45.0,71.1,9.6,1006.3,1018.5,1012.8,1015.2,10.2,6.7,10.0,0,0,3.6,1.8,11.0,1.5,1
156,堡林,2010-11-22,8.8,2.8,12.9,4.5,0.5,29.0,58.9,6.8,1006.1,1019.8,1010.9,1015.2,10.2,8.1,12.06,0,0,3.1,2.0,10.1,-1.8,0
156,堡林,2010-11-23,6.8,0.1,13.4,0,-3.2,28.0,50.9,4.9,1012.2,1022.9,1019.4,1021.3,10.2,7.3,11.7,0,0,3.8,0.5,5.5,-4.1,0
156,堡林,2010-11-24,8.7,3.5,14.2,0,2.3,46.0,65.3,7.2,1013.1,1023.7,1019.8,1022.2,10.1,1.2,6.68,0,0,6.8,5.8,8.5,-0.5,0
156,堡林,2010-11-25,6.2,2.7,10.1,0,-1.5,36.0,60.1,5.7,1013.1,1023.7,1021.0,1022.3,10.1,2.8,7.13,0,0,6.3,4.6,7.7,0.0,0
156,堡林,2010-11-26,3.7,0.8,8.1,0,-8.2,23.0,42.9,3.4,1013.1,1024.5,1020.7,1022.4,10.1,9.1,12.64,0,0,2.0,2.0,5.9,-3.7,1
156,堡林,2010-11-27,4.2,-1.2,9.4,1.5,-3.3,40.0,58.8,5.0,1010.9,1024.1,1015.7,1020.1,10.1,0.9,4.32,0,0,5.5,4.4,3.7,-4.5,0
156,堡林,2010-11-28,3.5,0.0,8.0,0,-6.6,27.0,48.9,3.8,1016.7,1028.3,1024.1,1026.1,10.0,7.5,11.32,0,0,2.5,2.0,4.3,-2.5,1
156,堡林,2010-11-29,7.1,0.0,13.7,0.4,2.5,47.0,74.3,7.4,1015.3,1026.8,1022.8,1024.5,10.0,7.9,9.97,0,0,3.0,3.0,6.6,-3.2,1
156,堡林,2010-11-30,10.5,6.5,17.1,0.0,5.7,39.0,74.3,9.2,1011.4,1023.3,1018.5,1020.5,10.0,5.4,8.28,0,0,3.8,3.1,9.5,1.7,0
156,堡林,2010-12-01,9.5,2.1,18.3,0,1.4,22.0,63.0,6.8,1011.5,1022.7,1018.8,1020.5,10.0,8.4,10.43,0,0,0.8,0.8,8.2,-1.6,1
156,堡林,2010-12-02,10.9,7.6,15.7,2.0,3.5,39.0,61.6,7.9,1007.1,1020.2,1013.3,1016.1,10.0,0.4,3.86,0,0,7.8,3.4,8.4,4.1,1
156,堡林,2010-12-03,4.8,1.1,10.0,0.4,-4.9,32.0,50.0,4.3,1011.8,1024.3,1013.1,1021.1,9.9,6.8,10.81,0,0,3.8,3.8,6.0,-3.1,0
156,堡林,2010-12-04,4.5,-1.2,11.4,0,-2.9,37.0,60.1,4.9,1013.6,1025.2,1020.7,1022.9,9.9,8.8,11.39,0,0,0.3,0.3,4.4,-5.0,0
156,堡林,2010-12-05,8.7,1.4,15.9,0,2.9,51.0,67.5,7.7,1009.9,1021.4,1017.0,1019.0,9.9,0.8,6.32,0,0,5.6,5.6,7.5,-2.1,0
156,堡林,2010-12-06,6.7,2.1,11.4,0,-0.1,42.0,62.8,6.4,1009.5,1020.8,1016.2,1018.6,9.9,4.4,8.17,0,0,5.6,5.3,9.1,0.6,0
156,堡林,2010-12-07,1.2,-1.0,5.2,0,-9.6,23.0,45.9,3.0,1009.1,1021.0,1016.6,1018.5,9.9,8.8,11.96,0,0,1.5,0.5,3.3,-5.8,1
156,堡林,2010-12-08,1.3,-2.8,6.0,4.0,-3.7,44.0,70.6,4.8,1003.8,1017.2,1009.6,1013.1,9.9,2.0,6.08,0,0,6.4,5.1,2.5,-6.5,1
156,堡林,2010-12-09,1.9,-0.9,6.1,0.1,-6.6,34.0,54.9,3.8,1009.4,1020.2,1014.1,1018.7,9.9,8.8,11.7,0.3,0.3,1.9,1.9,2.9,-5.0,1
156,堡林,2010-12-10,6.3,-2.8,13.0,0.0,-0.8,42.0,61.8,6.1,1004.9,1020.1,1009.6,1014.1,9.8,5.4,9.06,0,0,4.6,4.0,4.4,-6.4,0
156,堡林,2010-12-11,2.6,-3.0,9.9,0,-6.6,37.0,50.8,3.9,1011.9,1026.1,1012.9,1021.3,9.8,5.9,8.78,0,0,3.5,3.4,4.4,-7.4,1
156,堡林,2010-12-12,1.0,-4.4,4.9,0.0,-13.1,22.0,35.4,2.3,1014.5,1026.7,1021.0,1023.9,9.8,0.0,4.65,0,0,7.1,3.0,0.9,-8.3,1
156,堡林,2010-12-13,5.4,3.5,7.3,11.0,4.2,47.0,92.6,8.3,1006.3,1021.1,1012.6,1015.5,9.8,0.0,2.01,0,0,9.6,5.3,5.4,1.5,1
156,堡林,2010-12-14,1.6,-2.8,5.4,0.0,-4.9,32.0,64.1,4.5,1013.6,1027.2,1017.0,1023.0,9.8,5.0,8.8,0,0,6.1,5.4,3.3,-3.4,1
156,堡林,2010-12-15,-4.3,-7.1,-0.4,0.0,-12.2,38.0,55.0,2.4,1015.3,1027.3,1022.7,1024.9,9.8,8.1,10.94,0,0,4.1,3.5,0.7,-7.4,1
156,堡林,2010-12-16,-2.8,-7.7,2.1,0.0,-9.9,42.0,58.9,3.0,1010.5,1024.4,1018.0,1020.0,9.8,9.0,11.25,0,0,3.4,3.4,0.3,-8.9,1
156,堡林,2010-12-17,2.2,-1.2,6.7,0.0,-3.5,52.0,66.4,4.8,1007.6,1020.1,1014.6,1016.9,9.8,1.0,4.97,0,0,5.9,5.3,1.5,-3.8,0
156,堡林,2010-12-18,3.5,-1.3,9.4,0,-3.2,35.0,63.8,4.8,1013.4,1025.0,1020.1,1022.7,9.8,8.5,10.08,0,0,1.0,0.4,3.0,-5.7,1
156,堡林,2010-12-19,8.8,2.7,15.3,0.0,2.3,46.0,64.9,7.4,1010.5,1023.1,1016.6,1019.6,9.8,3.4,7.18,0,0,6.3,5.5,5.6,-0.8,0
156,堡林,2010-12-20,6.8,2.6,13.2,0,-1.3,25.0,60.6,5.7,1009.4,1020.3,1017.2,1018.6,9.8,8.6,10.21,0,0,0.3,0.3,5.1,-3.0,0
156,堡林,2010-12-21,5.5,-0.4,13.0,0,-0.7,41.0,65.9,5.8,1004.3,1017.6,1010.4,1013.5,9.8,6.3,8.45,0,0,2.4,0.5,4.1,-5.0,0
156,堡林,2010-12-22,4.1,-0.2,10.8,0,-1.7,41.0,68.1,5.4,1007.6,1020.3,1013.5,1016.8,9.8,7.9,9.51,0,0,0.0,0.0,3.4,-5.2,0
156,堡林,2010-12-23,2.4,-1.5,7.2,0,-4.9,33.0,60.1,4.4,1013.9,1027.2,1020.0,1023.3,9.8,2.8,5.81,0,0,2.9,2.9,2.3,-4.0,1
156,堡林,2010-12-24,-5.2,-8.0,-1.5,0.0,-14.0,23.0,51.5,2.1,1017.8,1029.7,1025.9,1027.4,9.8,7.6,11.1,0,0,5.0,5.0,0.7,-8.8,1
156,堡林,2010-12-25,-5.4,-9.3,-1.0,0.3,-11.3,42.0,64.1,2.7,1012.3,1026.1,1018.0,1022.0,9.8,7.4,9.95,1.5,1.5,4.1,4.1,-0.8,-9.9,1
156,堡林,2010-12-26,-2.9,-6.4,-0.8,2.6,-6.4,52.0,77.4,3.8,1005.1,1018.0,1012.2,1014.6,9.8,3.0,6.75,5.2,5.2,7.4,7.4,1.0,-7.6,1
156,堡林,2010-12-27,2.0,-1.4,6.1,0.1,-5.4,38.0,59.1,4.1,1005.3,1016.1,1013.4,1014.6,9.8,5.0,8.62,0.1,5.3,4.0,4.0,2.3,-4.2,1
156,堡林,2010-12-28,1.8,-0.8,5.7,2.0,-3.0,41.0,71.6,5.0,1003.4,1019.2,1008.2,1012.7,9.8,2.4,5.37,0,0,8.3,7.3,1.9,-2.7,1
156,堡林,2010-12-29,0.3,-1.4,3.3,1.2,-5.0,48.0,68.6,4.3,1010.5,1022.3,1017.2,1019.9,9.8,6.4,9.46,2.4,2.4,5.8,5.4,2.3,-4.4,1
156,堡林,2010-12-30,-2.0,-3.9,1.1,13.5,-3.1,64.0,92.0,4.9,1003.9,1017.2,1010.9,1013.3,9.8,1.0,2.78,21.3,21.3,9.1,8.4,0.6,-2.6,1
156,堡林,2010-12-31,-4.7,-6.7,-1.9,4.7,-7.6,62.0,80.4,3.5,1006.2,1018.2,1012.9,1015.8,9.8,2.2,3.66,11.4,29.2,6.9,6.9,0.5,-10.7,1
156,堡林,2011-01-01,-4.4,-8.2,0.9,0.0,-9.3,43.0,69.8,3.0,1013.4,1028.3,1017.8,1023.0,9.8,8.1,12.18,0.0,23.7,3.4,3.4,0.4,-12.6,0
156,堡林,2011-01-02,-3.8,-9.0,2.0,0,-8.4,43.0,71.8,3.3,1018.0,1030.0,1025.5,1027.6,9.9,8.9,13.11,0,14.5,0.1,0.1,0.3,-14.2,0
156,堡林,2011-01-03,-2.5,-5.6,1.4,0,-9.1,42.0,61.4,3.1,1013.9,1025.5,1021.4,1023.5,9.9,7.1,11.31,0,12.0,5.6,3.3,-0.3,-10.2,1
156,堡林,2011-01-04,-1.7,-7.8,1.5,0.0,-6.0,59.0,72.8,4.0,1013.9,1024.6,1022.7,1023.4,9.9,2.2,6.95,0,10.0,6.3,6.3,-0.2,-10.0,1
156,堡林,2011-01-05,0.7,-1.5,3.3,0.1,-5.1,48.0,65.6,4.2,1013.8,1025.1,1021.8,1023.2,9.9,2.9,7.68,0.3,8.8,8.0,8.0,0.1,-1.9,1
156,堡林,2011-01-06,-2.3,-4.1,-0.8,0.8,-6.8,54.0,71.0,3.7,1017.1,1029.3,1023.7,1026.7,9.9,3.4,7.5,2.5,10.2,6.6,6.6,0.2,-6.1,0
156,堡林,2011-01-07,-3.7,-7.5,0.4,0,-11.2,26.0,57.3,2.6,1019.9,1031.5,1027.5,1029.5,9.9,8.9,12.55,0,7.0,1.1,0.8,0.4,-10.3,0
156,堡林,2011-01-08,-1.5,-7.8,4.2,0,-7.2,49.0,66.0,3.6,1017.1,1029.5,1024.0,1026.7,9.9,6.6,10.79,0,6.5,3.8,3.8,-0.2,-10.5,1
156,堡林,2011-01-09,-1.7,-5.4,1.2,0.1,-8.5,44.0,60.4,3.3,1016.8,1029.4,1023.1,1026.3,9.9,4.7,9.74,0.2,5.5,6.1,6.1,0.2,-7.7,0
156,堡林,2011-01-10,-5.2,-8.7,-1.0,0,-14.4,31.0,49.6,2.0,1017.2,1029.9,1024.5,1026.9,10.0,9.2,12.71,0,5.0,1.4,1.1,-0.7,-11.3,1
156,堡林,2011-01-11,-2.6,-7.3,1.7,0.3,-10.5,34.0,56.3,3.0,1010.3,1024.8,1017.4,1019.8,10.0,5.1,9.1,0.6,4.5,7.0,6.4,-0.8,-10.0,1
156,堡林,2011-01-12,-3.3,-5.9,-0.7,1.0,-11.6,33.0,54.1,2.6,1014.1,1026.8,1018.6,1023.7,10.0,8.6,13.34,3.5,8.0,2.5,2.5,0.0,-8.7,0
156,堡林,2011-01-13,-3.0,-8.4,2.6,0,-11.4,38.0,53.0,2.6,1017.5,1029.0,1025.3,1027.1,10.0,9.2,11.75,0,4.0,1.9,0.9,-0.5,-10.0,0
156,堡林,2011-01-14,-1.2,-7.1,4.2,0,-9.0,32.0,56.4,3.1,1017.8,1029.3,1025.0,1027.3,10.0,5.3,9.7,0,3.0,3.8,0.6,-0.7,-9.9,1
156,堡林,2011-01-15,-5.8,-10.7,-0.4,1.4,-13.1,34.0,57.6,2.3,1017.6,1028.9,1025.2,1027.3,10.0,5.9,10.65,2.1,4.0,6.4,6.0,-0.4,-11.7,1
156,堡林,2011-01-16,-7.7,-11.7,-4.4,0.0,-13.0,55.0,65.6,2.3,1018.9,1030.8,1027.2,1028.6,10.1,5.1,10.04,0,4.0,5.8,5.8,-0.7,-12.9,1
156,堡林,2011-01-17,-4.6,-8.6,-0.3,0.0,-11.4,33.0,60.1,2.6,1022.0,1033.5,1030.3,1031.7,10.1,9.1,13.11,0,3.5,2.3,2.3,-0.7,-10.7,1
156,堡林,2011-01-18,-3.6,-7.4,-0.5,0.0,-7.7,55.0,73.0,3.5,1020.6,1032.3,1028.6,1030.2,10.1,0.5,6.0,0.1,3.1,6.4,3.9,-0.7,-8.8,1
156,堡林,2011-01-19,-2.3,-4.9,1.6,0.0,-7.3,45.0,70.3,3.6,1019.2,1030.1,1027.0,1028.7,10.1,7.5,11.6,0,2.5,5.1,4.4,-0.5,-8.1,1
156,堡林,2011-01-20,-3.7,-5.3,-1.1,0.0,-9.2,43.0,66.6,3.1,1017.6,1028.5,1025.7,1027.2,10.2,3.2,8.82,0.2,2.3,7.1,3.6,-0.5,-7.3,0
156,堡林,2011-01-21,-3.8,-6.9,0.7,0,-11.1,41.0,57.4,2.6,1017.2,1029.7,1024.9,1026.9,10.2,8.3,11.54,0,1.5,3.1,0.0,-0.6,-8.4,0
156,堡林,2011-01-22,-2.7,-8.4,3.6,0,-9.6,45.0,59.3,3.0,1018.8,1030.0,1027.1,1028.4,10.2,7.7,10.79,0,1.0,2.3,1.3,-1.2,-9.8,1
156,堡林,2011-01-23,-1.1,-3.5,2.5,0.6,-7.6,36.0,63.3,3.6,1017.1,1029.5,1024.3,1026.7,10.2,0.0,3.97,1.0,1.3,9.0,3.4,-0.6,-5.1,1
156,堡林,2011-01-24,-3.4,-5.6,-1.2,1.5,-7.0,62.0,76.3,3.6,1018.4,1030.2,1026.2,1028.0,10.3,3.0,8.53,4.2,5.5,6.8,6.8,0.0,-6.9,1
156,堡林,2011-01-25,-3.5,-6.4,0.7,0.0,-9.7,49.0,62.5,3.0,1022.3,1033.7,1030.1,1032.0,10.3,6.8,11.79,0,1.1,5.4,5.4,-0.6,-8.2,0
156,堡林,2011-01-26,-4.2,-7.6,0.1,0,-10.1,43.0,64.5,2.8,1026.1,1037.4,1033.1,1035.8,10.3,8.4,12.74,0,0.5,1.9,1.9,-2.1,-9.3,0
156,堡林,2011-01-27,-3.7,-6.6,0.3,0,-13.7,26.0,47.4,2.2,1027.9,1039.7,1036.0,1037.6,10.3,8.0,12.31,0,0,4.3,1.3,-0.9,-6.9,0
156,堡林,2011-01-28,-4.0,-6.8,0.5,0,-14.7,23.0,44.1,2.0,1023.4,1036.7,1030.5,1033.1,10.4,8.0,12.18,0,0,6.1,0.0,-0.6,-7.7,1
156,堡林,2011-01-29,-5.5,-7.8,-1.6,0.8,-12.6,38.0,58.1,2.4,1020.5,1031.8,1029.0,1030.2,10.4,6.8,9.38,2.5,2.5,4.9,3.4,-2.3,-10.2,1
156,堡林,2011-01-30,-6.1,-9.9,-2.0,0.8,-10.9,43.0,70.4,2.7,1020.8,1033.0,1028.9,1030.6,10.4,7.3,13.4,1.7,1.7,4.5,4.1,-0.3,-13.6,1
156,堡林,2011-01-31,-4.0,-9.5,1.5,0.0,-9.1,32.0,70.0,3.1,1019.9,1031.8,1028.0,1029.6,10.4,9.1,13.22,0,1.2,1.9,1.9,0.3,-12.7,0
156,堡林,2011-02-01,-0.3,-7.5,6.3,0,-5.5,43.0,70.0,4.1,1016.7,1028.6,1024.2,1026.2,10.5,6.4,11.65,0,0,4.0,0.0,0.4,-9.1,0
156,堡林,2011-02-02,2.2,-2.1,8.6,0,-4.6,29.0,65.0,4.4,1015.1,1025.9,1022.8,1024.5,10.5,8.4,12.11,0,0,2.4,0.6,2.3,-4.8,0
156,堡林,2011-02-03,1.7,-3.8,8.9,0,-3.7,39.0,69.4,4.6,1014.1,1025.8,1021.2,1023.5,10.5,8.4,12.43,0,0,0.0,0.0,2.0,-7.5,0
156,堡林,2011-02-04,3.6,-1.0,10.4,0,-4.8,22.0,58.5,4.4,1012.2,1023.2,1019.4,1021.5,10.6,7.7,12.44,0,0,0.9,0.0,3.2,-3.9,0
156,堡林,2011-02-05,2.4,-2.8,10.2,0,-5.2,27.0,60.6,4.2,1012.5,1024.6,1020.0,1021.9,10.6,9.1,13.99,0,0,0.6,0.0,3.3,-5.5,0
156,堡林,2011-02-06,3.7,-1.6,10.3,0,-1.3,42.0,71.4,5.7,1008.8,1020.9,1015.5,1018.0,10.6,5.5,9.47,0,0,4.3,1.8,3.1,-4.6,0
156,堡林,2011-02-07,4.5,-0.3,9.6,0,-3.6,29.0,59.5,4.8,1008.3,1021.2,1013.5,1017.5,10.7,4.8,11.21,0,0,5.3,0.4,3.4,-5.1,1
156,堡林,2011-02-08,4.0,2.0,5.7,1.0,1.0,52.0,81.8,6.7,1001.5,1013.9,1007.1,1010.7,10.7,0.0,1.56,0,0,8.6,5.9,3.2,-1.8,0
