,瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),弥历扁柯(∑C),弥绊扁柯(∑C),老碍荐樊(mm),乞闭 捞浇痢柯档(∑C),弥家 惑措嚼档(%),乞闭 惑措嚼档(%),乞闭 刘扁拘(hPa),乞闭 泅瘤扁拘(hPa),弥绊 秦搁扁拘(hPa),弥历 秦搁扁拘(hPa),乞闭 秦搁扁拘(hPa),啊炼矫埃(hr),钦拌 老炼 矫埃(hr),钦拌 老荤(MJ/m2),老 弥缴脚利汲(cm),老 弥缴利汲(cm),乞闭 傈款樊(1/10),乞闭 吝窍摸款樊(1/10),乞闭 瘤搁柯档(∑C),弥历 檬惑柯档(∑C)
36,156,堡林,2010-10-19,17.2,11.9,23.0,0,10.2,44.0,65.1,12.5,1014.9,1025.6,1022.3,1023.7,11.2,5.1,11.42,0,0,4.4,0.0,18.3,8.7
37,156,堡林,2010-10-19,17.2,11.9,23.0,0,10.2,44.0,65.1,12.5,1014.9,1025.6,1022.3,1023.7,11.2,5.1,11.42,0,0,4.4,0.0,18.3,8.7
38,156,堡林,2010-10-20,16.9,12.2,23.8,0,11.1,42.0,71.0,13.2,1012.4,1023.5,1019.1,1021.3,11.2,6.9,13.11,0,0,5.0,3.4,18.9,9.5
39,156,堡林,2010-10-20,16.9,12.2,23.8,0,11.1,42.0,71.0,13.2,1012.4,1023.5,1019.1,1021.3,11.2,6.9,13.11,0,0,5.0,3.4,18.9,9.5
40,156,堡林,2010-10-21,17.0,11.8,23.4,0,11.9,45.0,73.5,13.9,1010.4,1020.6,1017.1,1019.2,11.1,6.4,13.69,0,0,3.8,1.8,19.2,8.9
41,156,堡林,2010-10-21,17.0,11.8,23.4,0,11.9,45.0,73.5,13.9,1010.4,1020.6,1017.1,1019.2,11.1,6.4,13.69,0,0,3.8,1.8,19.2,8.9
42,156,堡林,2010-10-22,17.6,13.3,23.7,0,9.7,35.0,62.1,12.1,1012.4,1022.8,1019.6,1021.2,11.1,9.2,16.31,0,0,3.1,0.4,20.3,10.1
43,156,堡林,2010-10-22,17.6,13.3,23.7,0,9.7,35.0,62.1,12.1,1012.4,1022.8,1019.6,1021.2,11.1,9.2,16.31,0,0,3.1,0.4,20.3,10.1
44,156,堡林,2010-10-23,16.7,12.6,21.4,0.5,10.8,52.0,69.3,13.0,1010.5,1022.4,1017.2,1019.3,11.1,0.2,8.01,0,0,8.0,3.5,17.6,8.9
45,156,堡林,2010-10-23,16.7,12.6,21.4,0.5,10.8,52.0,69.3,13.0,1010.5,1022.4,1017.2,1019.3,11.1,0.2,8.01,0,0,8.0,3.5,17.6,8.9
46,156,堡林,2010-10-24,17.3,15.3,20.1,10.5,15.6,73.0,90.4,17.8,1004.7,1017.6,1011.4,1013.5,11.0,0.0,4.87,0,0,9.6,5.6,18.8,14.9
47,156,堡林,2010-10-24,17.3,15.3,20.1,10.5,15.6,73.0,90.4,17.8,1004.7,1017.6,1011.4,1013.5,11.0,0.0,4.87,0,0,9.6,5.6,18.8,14.9
48,156,堡林,2010-10-25,13.3,8.8,17.2,0,5.6,34.0,62.3,9.8,1007.9,1022.4,1012.5,1016.8,11.0,5.2,13.87,0,0,3.3,1.8,15.7,7.2
49,156,堡林,2010-10-25,13.3,8.8,17.2,0,5.6,34.0,62.3,9.8,1007.9,1022.4,1012.5,1016.8,11.0,5.2,13.87,0,0,3.3,1.8,15.7,7.2
50,156,堡林,2010-10-26,6.3,2.5,10.1,0,-9.3,19.0,32.4,3.0,1018.5,1030.9,1022.4,1027.7,11.0,10.3,17.51,0,0,0.1,0.0,9.8,-0.6
51,156,堡林,2010-10-26,6.3,2.5,10.1,0,-9.3,19.0,32.4,3.0,1018.5,1030.9,1022.4,1027.7,11.0,10.3,17.51,0,0,0.1,0.0,9.8,-0.6
52,156,堡林,2010-10-27,8.0,1.5,15.0,0,-3.9,28.0,43.6,4.7,1018.8,1030.9,1026.0,1028.0,10.9,6.3,13.14,0,0,3.8,1.5,9.7,-1.1
53,156,堡林,2010-10-27,8.0,1.5,15.0,0,-3.9,28.0,43.6,4.7,1018.8,1030.9,1026.0,1028.0,10.9,6.3,13.14,0,0,3.8,1.5,9.7,-1.1
54,156,堡林,2010-10-28,8.6,3.8,14.5,0,-2.9,15.0,47.5,5.0,1015.4,1026.0,1022.4,1024.6,10.9,10.0,16.65,0,0,0.0,0.0,11.6,0.4
55,156,堡林,2010-10-28,8.6,3.8,14.5,0,-2.9,15.0,47.5,5.0,1015.4,1026.0,1022.4,1024.6,10.9,10.0,16.65,0,0,0.0,0.0,11.6,0.4
56,156,堡林,2010-10-29,10.7,4.1,18.7,0,-0.2,19.0,49.4,6.1,1016.3,1027.1,1023.1,1025.3,10.9,9.9,16.41,0,0,0.1,0.0,12.5,-0.4
57,156,堡林,2010-10-29,10.7,4.1,18.7,0,-0.2,19.0,49.4,6.1,1016.3,1027.1,1023.1,1025.3,10.9,9.9,16.41,0,0,0.1,0.0,12.5,-0.4
58,156,堡林,2010-10-30,13.7,7.9,20.1,0,4.7,34.0,56.8,8.6,1016.4,1026.8,1023.4,1025.3,10.8,8.5,15.31,0,0,3.8,3.6,15.6,4.6
59,156,堡林,2010-10-30,13.7,7.9,20.1,0,4.7,34.0,56.8,8.6,1016.4,1026.8,1023.4,1025.3,10.8,8.5,15.31,0,0,3.8,3.6,15.6,4.6
60,156,堡林,2010-10-31,12.7,8.9,18.1,0,3.8,29.0,58.6,8.1,1014.2,1025.8,1021.6,1023.2,10.8,9.2,15.26,0,0,1.8,1.8,15.2,5.0
61,156,堡林,2010-10-31,12.7,8.9,18.1,0,3.8,29.0,58.6,8.1,1014.2,1025.8,1021.6,1023.2,10.8,9.2,15.26,0,0,1.8,1.8,15.2,5.0
62,156,堡林,2010-11-01,11.6,6.9,17.1,0,4.4,33.0,64.3,8.4,1012.3,1023.0,1019.6,1021.3,10.8,9.2,14.27,0,0,1.0,1.0,13.0,3.5
63,156,堡林,2010-11-01,11.6,6.9,17.1,0,4.4,33.0,64.3,8.4,1012.3,1023.0,1019.6,1021.3,10.8,9.2,14.27,0,0,1.0,1.0,13.0,3.5
64,156,堡林,2010-11-02,9.2,5.1,12.5,0,-0.4,31.0,52.5,6.0,1014.3,1026.0,1020.7,1023.4,10.7,9.1,14.46,0,0,3.5,0.8,12.5,0.7
65,156,堡林,2010-11-02,9.2,5.1,12.5,0,-0.4,31.0,52.5,6.0,1014.3,1026.0,1020.7,1023.4,10.7,9.1,14.46,0,0,3.5,0.8,12.5,0.7
66,156,堡林,2010-11-03,8.1,2.1,14.7,0,0.1,32.0,59.5,6.2,1017.6,1028.2,1025.2,1026.8,10.7,8.9,14.53,0,0,0.6,0.5,10.7,-1.2
67,156,堡林,2010-11-03,8.1,2.1,14.7,0,0.1,32.0,59.5,6.2,1017.6,1028.2,1025.2,1026.8,10.7,8.9,14.53,0,0,0.6,0.5,10.7,-1.2
68,156,堡林,2010-11-04,9.7,3.0,17.5,0,3.9,30.0,69.6,8.1,1016.7,1027.8,1023.9,1025.8,10.7,9.1,14.05,0,0,0.3,0.3,11.5,-0.2
69,156,堡林,2010-11-04,9.7,3.0,17.5,0,3.9,30.0,69.6,8.1,1016.7,1027.8,1023.9,1025.8,10.7,9.1,14.05,0,0,0.3,0.3,11.5,-0.2
70,156,堡林,2010-11-05,10.8,5.0,18.1,0,5.9,36.0,74.6,9.3,1015.7,1026.6,1022.6,1024.8,10.6,8.4,12.33,0,0,0.1,0.1,12.2,1.6
71,156,堡林,2010-11-05,10.8,5.0,18.1,0,5.9,36.0,74.6,9.3,1015.7,1026.6,1022.6,1024.8,10.6,8.4,12.33,0,0,0.1,0.1,12.2,1.6
72,156,堡林,2010-11-06,10.3,3.8,19.5,0,4.6,25.0,73.0,8.6,1013.9,1025.0,1020.9,1023.0,10.6,8.2,13.3,0,0,3.3,2.5,12.3,0.9
73,156,堡林,2010-11-06,10.3,3.8,19.5,0,4.6,25.0,73.0,8.6,1013.9,1025.0,1020.9,1023.0,10.6,8.2,13.3,0,0,3.3,2.5,12.3,0.9
74,156,堡林,2010-11-07,10.5,4.6,17.4,0,5.6,46.0,74.3,9.1,1009.7,1022.5,1015.5,1018.7,10.6,6.6,12.01,0,0,3.9,1.3,12.4,1.3
75,156,堡林,2010-11-07,10.5,4.6,17.4,0,5.6,46.0,74.3,9.1,1009.7,1022.5,1015.5,1018.7,10.6,6.6,12.01,0,0,3.9,1.3,12.4,1.3
76,156,堡林,2010-11-08,9.7,5.3,13.7,1.0,4.0,47.0,68.6,8.3,1007.9,1019.3,1014.7,1017.0,10.5,0.9,5.15,0,0,9.3,7.8,10.6,4.0
77,156,堡林,2010-11-08,9.7,5.3,13.7,1.0,4.0,47.0,68.6,8.3,1007.9,1019.3,1014.7,1017.0,10.5,0.9,5.15,0,0,9.3,7.8,10.6,4.0
78,156,堡林,2010-11-09,7.9,5.8,10.6,0.0,-1.6,33.0,52.5,5.5,1011.1,1021.4,1018.5,1020.2,10.5,2.3,7.95,0,0,7.5,7.5,9.1,2.1
79,156,堡林,2010-11-09,7.9,5.8,10.6,0.0,-1.6,33.0,52.5,5.5,1011.1,1021.4,1018.5,1020.2,10.5,2.3,7.95,0,0,7.5,7.5,9.1,2.1
80,156,堡林,2010-11-10,8.3,3.3,13.5,0,1.2,40.0,62.5,6.7,1012.5,1023.3,1020.5,1021.7,10.5,6.8,10.17,0,0,3.1,3.1,9.2,-0.5
81,156,堡林,2010-11-10,8.3,3.3,13.5,0,1.2,40.0,62.5,6.7,1012.5,1023.3,1020.5,1021.7,10.5,6.8,10.17,0,0,3.1,3.1,9.2,-0.5
82,156,堡林,2010-11-11,13.0,5.7,19.1,0.0,5.0,29.0,60.6,9.1,1008.2,1021.2,1012.8,1017.2,10.5,3.8,8.18,0,0,6.4,5.4,12.0,2.4
83,156,堡林,2010-11-11,13.0,5.7,19.1,0.0,5.0,29.0,60.6,9.1,1008.2,1021.2,1012.8,1017.2,10.5,3.8,8.18,0,0,6.4,5.4,12.0,2.4
84,156,堡林,2010-11-12,11.7,7.3,16.3,0,-1.5,23.0,41.6,5.5,1014.0,1026.4,1017.5,1023.1,10.4,9.2,13.83,0,0,1.6,1.4,12.7,2.2
85,156,堡林,2010-11-12,11.7,7.3,16.3,0,-1.5,23.0,41.6,5.5,1014.0,1026.4,1017.5,1023.1,10.4,9.2,13.83,0,0,1.6,1.4,12.7,2.2
86,156,堡林,2010-11-13,9.8,3.6,16.5,0,1.5,33.0,58.5,6.8,1017.5,1028.1,1024.8,1026.6,10.4,3.1,7.93,0,0,5.5,0.0,8.9,-1.0
87,156,堡林,2010-11-13,9.8,3.6,16.5,0,1.5,33.0,58.5,6.8,1017.5,1028.1,1024.8,1026.6,10.4,3.1,7.93,0,0,5.5,0.0,8.9,-1.0
88,156,堡林,2010-11-14,9.8,7.2,13.6,0,-1.7,19.0,50.3,6.1,1019.1,1030.9,1026.4,1028.2,10.4,1.1,7.33,0,0,6.9,3.1,11.0,4.6
89,156,堡林,2010-11-14,9.8,7.2,13.6,0,-1.7,19.0,50.3,6.1,1019.1,1030.9,1026.4,1028.2,10.4,1.1,7.33,0,0,6.9,3.1,11.0,4.6
90,156,堡林,2010-11-15,5.0,1.3,8.6,0,-8.7,18.0,38.4,3.2,1021.0,1033.3,1028.3,1030.4,10.3,9.4,13.98,0,0,1.3,1.1,8.9,-2.9
91,156,堡林,2010-11-15,5.0,1.3,8.6,0,-8.7,18.0,38.4,3.2,1021.0,1033.3,1028.3,1030.4,10.3,9.4,13.98,0,0,1.3,1.1,8.9,-2.9
92,156,堡林,2010-11-16,5.0,0.1,11.3,0,-5.1,30.0,49.3,4.3,1017.3,1030.2,1024.0,1026.6,10.3,8.1,12.16,0,0,0.8,0.3,6.6,-4.1
93,156,堡林,2010-11-16,5.0,0.1,11.3,0,-5.1,30.0,49.3,4.3,1017.3,1030.2,1024.0,1026.6,10.3,8.1,12.16,0,0,0.8,0.3,6.6,-4.1
94,156,堡林,2010-11-17,7.9,2.7,13.5,0,-0.6,34.0,56.6,5.9,1016.6,1026.9,1024.5,1025.8,10.3,8.7,11.97,0,0,2.0,2.0,9.6,-0.5
95,156,堡林,2010-11-17,7.9,2.7,13.5,0,-0.6,34.0,56.6,5.9,1016.6,1026.9,1024.5,1025.8,10.3,8.7,11.97,0,0,2.0,2.0,9.6,-0.5
96,156,堡林,2010-11-18,7.3,1.9,14.0,0,-1.4,29.0,57.8,5.5,1016.4,1027.8,1023.6,1025.6,10.3,9.1,12.36,0,0,0.0,0.0,8.3,-2.2
97,156,堡林,2010-11-18,7.3,1.9,14.0,0,-1.4,29.0,57.8,5.5,1016.4,1027.8,1023.6,1025.6,10.3,9.1,12.36,0,0,0.0,0.0,8.3,-2.2
98,156,堡林,2010-11-19,6.2,0.8,13.6,0,-1.1,26.0,61.9,5.7,1011.9,1024.5,1019.0,1021.1,10.2,5.5,8.67,0,0,2.6,0.0,6.6,-3.0
99,156,堡林,2010-11-19,6.2,0.8,13.6,0,-1.1,26.0,61.9,5.7,1011.9,1024.5,1019.0,1021.1,10.2,5.5,8.67,0,0,2.6,0.0,6.6,-3.0
100,156,堡林,2010-11-20,9.1,1.8,17.3,0,2.3,39.0,64.4,7.3,1009.7,1020.6,1016.8,1018.8,10.2,8.6,11.24,0,0,0.9,0.9,9.0,-1.3
101,156,堡林,2010-11-20,9.1,1.8,17.3,0,2.3,39.0,64.4,7.3,1009.7,1020.6,1016.8,1018.8,10.2,8.6,11.24,0,0,0.9,0.9,9.0,-1.3
102,156,堡林,2010-11-21,11.9,4.9,18.5,0,6.3,45.0,71.1,9.6,1006.3,1018.5,1012.8,1015.2,10.2,6.7,10.0,0,0,3.6,1.8,11.0,1.5
103,156,堡林,2010-11-21,11.9,4.9,18.5,0,6.3,45.0,71.1,9.6,1006.3,1018.5,1012.8,1015.2,10.2,6.7,10.0,0,0,3.6,1.8,11.0,1.5
104,156,堡林,2010-11-22,8.8,2.8,12.9,4.5,0.5,29.0,58.9,6.8,1006.1,1019.8,1010.9,1015.2,10.2,8.1,12.06,0,0,3.1,2.0,10.1,-1.8
105,156,堡林,2010-11-22,8.8,2.8,12.9,4.5,0.5,29.0,58.9,6.8,1006.1,1019.8,1010.9,1015.2,10.2,8.1,12.06,0,0,3.1,2.0,10.1,-1.8
106,156,堡林,2010-11-23,6.8,0.1,13.4,0,-3.2,28.0,50.9,4.9,1012.2,1022.9,1019.4,1021.3,10.2,7.3,11.7,0,0,3.8,0.5,5.5,-4.1
107,156,堡林,2010-11-23,6.8,0.1,13.4,0,-3.2,28.0,50.9,4.9,1012.2,1022.9,1019.4,1021.3,10.2,7.3,11.7,0,0,3.8,0.5,5.5,-4.1
108,156,堡林,2010-11-24,8.7,3.5,14.2,0,2.3,46.0,65.3,7.2,1013.1,1023.7,1019.8,1022.2,10.1,1.2,6.68,0,0,6.8,5.8,8.5,-0.5
109,156,堡林,2010-11-24,8.7,3.5,14.2,0,2.3,46.0,65.3,7.2,1013.1,1023.7,1019.8,1022.2,10.1,1.2,6.68,0,0,6.8,5.8,8.5,-0.5
110,156,堡林,2010-11-25,6.2,2.7,10.1,0,-1.5,36.0,60.1,5.7,1013.1,1023.7,1021.0,1022.3,10.1,2.8,7.13,0,0,6.3,4.6,7.7,0.0
111,156,堡林,2010-11-25,6.2,2.7,10.1,0,-1.5,36.0,60.1,5.7,1013.1,1023.7,1021.0,1022.3,10.1,2.8,7.13,0,0,6.3,4.6,7.7,0.0
112,156,堡林,2010-11-26,3.7,0.8,8.1,0,-8.2,23.0,42.9,3.4,1013.1,1024.5,1020.7,1022.4,10.1,9.1,12.64,0,0,2.0,2.0,5.9,-3.7
113,156,堡林,2010-11-26,3.7,0.8,8.1,0,-8.2,23.0,42.9,3.4,1013.1,1024.5,1020.7,1022.4,10.1,9.1,12.64,0,0,2.0,2.0,5.9,-3.7
114,156,堡林,2010-11-27,4.2,-1.2,9.4,1.5,-3.3,40.0,58.8,5.0,1010.9,1024.1,1015.7,1020.1,10.1,0.9,4.32,0,0,5.5,4.4,3.7,-4.5
115,156,堡林,2010-11-27,4.2,-1.2,9.4,1.5,-3.3,40.0,58.8,5.0,1010.9,1024.1,1015.7,1020.1,10.1,0.9,4.32,0,0,5.5,4.4,3.7,-4.5
116,156,堡林,2010-11-28,3.5,0.0,8.0,0,-6.6,27.0,48.9,3.8,1016.7,1028.3,1024.1,1026.1,10.0,7.5,11.32,0,0,2.5,2.0,4.3,-2.5
117,156,堡林,2010-11-28,3.5,0.0,8.0,0,-6.6,27.0,48.9,3.8,1016.7,1028.3,1024.1,1026.1,10.0,7.5,11.32,0,0,2.5,2.0,4.3,-2.5
118,156,堡林,2010-11-29,7.1,0.0,13.7,0.4,2.5,47.0,74.3,7.4,1015.3,1026.8,1022.8,1024.5,10.0,7.9,9.97,0,0,3.0,3.0,6.6,-3.2
119,156,堡林,2010-11-29,7.1,0.0,13.7,0.4,2.5,47.0,74.3,7.4,1015.3,1026.8,1022.8,1024.5,10.0,7.9,9.97,0,0,3.0,3.0,6.6,-3.2
120,156,堡林,2010-11-30,10.5,6.5,17.1,0.0,5.7,39.0,74.3,9.2,1011.4,1023.3,1018.5,1020.5,10.0,5.4,8.28,0,0,3.8,3.1,9.5,1.7
121,156,堡林,2010-11-30,10.5,6.5,17.1,0.0,5.7,39.0,74.3,9.2,1011.4,1023.3,1018.5,1020.5,10.0,5.4,8.28,0,0,3.8,3.1,9.5,1.7
122,156,堡林,2010-12-01,9.5,2.1,18.3,0,1.4,22.0,63.0,6.8,1011.5,1022.7,1018.8,1020.5,10.0,8.4,10.43,0,0,0.8,0.8,8.2,-1.6
123,156,堡林,2010-12-01,9.5,2.1,18.3,0,1.4,22.0,63.0,6.8,1011.5,1022.7,1018.8,1020.5,10.0,8.4,10.43,0,0,0.8,0.8,8.2,-1.6
124,156,堡林,2010-12-02,10.9,7.6,15.7,2.0,3.5,39.0,61.6,7.9,1007.1,1020.2,1013.3,1016.1,10.0,0.4,3.86,0,0,7.8,3.4,8.4,4.1
125,156,堡林,2010-12-02,10.9,7.6,15.7,2.0,3.5,39.0,61.6,7.9,1007.1,1020.2,1013.3,1016.1,10.0,0.4,3.86,0,0,7.8,3.4,8.4,4.1
126,156,堡林,2010-12-03,4.8,1.1,10.0,0.4,-4.9,32.0,50.0,4.3,1011.8,1024.3,1013.1,1021.1,9.9,6.8,10.81,0,0,3.8,3.8,6.0,-3.1
127,156,堡林,2010-12-03,4.8,1.1,10.0,0.4,-4.9,32.0,50.0,4.3,1011.8,1024.3,1013.1,1021.1,9.9,6.8,10.81,0,0,3.8,3.8,6.0,-3.1
128,156,堡林,2010-12-04,4.5,-1.2,11.4,0,-2.9,37.0,60.1,4.9,1013.6,1025.2,1020.7,1022.9,9.9,8.8,11.39,0,0,0.3,0.3,4.4,-5.0
129,156,堡林,2010-12-04,4.5,-1.2,11.4,0,-2.9,37.0,60.1,4.9,1013.6,1025.2,1020.7,1022.9,9.9,8.8,11.39,0,0,0.3,0.3,4.4,-5.0
130,156,堡林,2010-12-05,8.7,1.4,15.9,0,2.9,51.0,67.5,7.7,1009.9,1021.4,1017.0,1019.0,9.9,0.8,6.32,0,0,5.6,5.6,7.5,-2.1
131,156,堡林,2010-12-05,8.7,1.4,15.9,0,2.9,51.0,67.5,7.7,1009.9,1021.4,1017.0,1019.0,9.9,0.8,6.32,0,0,5.6,5.6,7.5,-2.1
132,156,堡林,2010-12-06,6.7,2.1,11.4,0,-0.1,42.0,62.8,6.4,1009.5,1020.8,1016.2,1018.6,9.9,4.4,8.17,0,0,5.6,5.3,9.1,0.6
133,156,堡林,2010-12-06,6.7,2.1,11.4,0,-0.1,42.0,62.8,6.4,1009.5,1020.8,1016.2,1018.6,9.9,4.4,8.17,0,0,5.6,5.3,9.1,0.6
134,156,堡林,2010-12-07,1.2,-1.0,5.2,0,-9.6,23.0,45.9,3.0,1009.1,1021.0,1016.6,1018.5,9.9,8.8,11.96,0,0,1.5,0.5,3.3,-5.8
